,TAG,DescripcionEquipo,GrupoTS,GrupoHR,EqSAP,PuntoMedida,GrupoHREQ,Contador,HRPuesto,EstrategiaMTTO,HRDescripcion,HRContador,Estrategia,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Frecuencia,Material,MCantidad
31,,,,,,,10016592,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016592X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016592X610,,,
32,,,,,,,10016592,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016592X7,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016592X710,,,
33,,,,,,,10016592,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016592X8,HOR002,10,Cambio chumaceras rodamientos polea (2),TEC-MEC,PM01,4.0,8.0,10016592X810,,,
34,,,,,,,10016592,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016592X9,HOR002,10,Cambio chumaceras rodamientos polea,TEC-MEC,PM01,4.0,8.0,10016592X910,,,
35,,,,,,,10016592,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio del raspador,10016592XA,HOR002,10,Cambio del raspador primario,TEC-MEC,PM01,2.0,2.0,10016592XA10,,,
36,,,,,,,10016592,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016592XB,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016592XB10,,,
37,,,,,,,10016592,XC,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016592XC,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016592XC10,,,
38,,,,,,,10016592,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016592Y1,HOR002,10,Cambio de rodamientos,TEC-ELE,PM01,2.0,5.0,10016592Y110,,,
39,,,,,,,10016592,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016592Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016592Z110,,,
40,,,,,,,10016592,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016592Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016592Z210,,,
41,,,,,,,10016592,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016592W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016592W110,,,
42,,,,,,,10016601,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016601X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,3.0,6.0,10016601X110,,,
43,,,,,,,10016601,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016601X2,HOR002,10,Cambio de acople de baja,TEC-MEC,PM01,2.0,3.0,10016601X210,,,
44,,,,,,,10016601,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016601X3,HOR002,10,Cambio de rodamientos,TEC-MEC,PM01,3.0,14.0,10016601X310,,,
45,,,,,,,10016601,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016601X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016601X410,,,
46,,,,,,,10016601,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016601X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016601X510,,,
47,,,,,,,10016601,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016601X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016601X610,,,
48,,,,,,,10016601,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016601X7,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016601X710,,,
49,,,,,,,10016601,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016601X8,HOR002,10,Cambio chumaceras rodamientos polea (2),TEC-MEC,PM01,4.0,8.0,10016601X810,,,
50,,,,,,,10016601,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016601X9,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016601X910,,,
51,,,,,,,10016601,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio del raspador,10016601XA,HOR002,10,Cambio del raspador primario,TEC-MEC,PM01,2.0,2.0,10016601XA10,,3045208,1
52,,,,,,,10016601,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016601XB,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016601XB10,,3045217,8
53,,,,,,,10016601,XC,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016601XC,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016601XC10,,,
54,,,,,,,10016601,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016601Y1,HOR002,10,Cambio de rodamientos,TEC-ELE,PM01,2.0,5.0,10016601Y110,,,
55,,,,,,,10016601,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016601Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016601Z110,,,
56,,,,,,,10016601,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016601Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016601Z210,,,
57,,,,,,,10016601,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016601W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016601W110,,,
58,,,,,,,10016602,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016602X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,3.0,6.0,10016602X110,,,
59,,,,,,,10016602,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016602X2,HOR002,10,Cambio de acople de baja,TEC-MEC,PM01,2.0,3.0,10016602X210,,,
60,,,,,,,10016602,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016602X3,HOR002,10,Cambio de rodamientos de reductor,TEC-MEC,PM01,3.0,14.0,10016602X310,,,
61,,,,,,,10016602,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016602X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016602X410,,,
62,,,,,,,10016602,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016602X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016602X510,,,
63,,,,,,,10016602,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016602X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016602X610,,,
64,,,,,,,10016602,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016602X7,HOR002,10,Cambio chumaceras y rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016602X710,,,
65,,,,,,,10016602,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016602X8,HOR002,10,Cambio chumaceras rodamientos polea (2),TEC-MEC,PM01,4.0,8.0,10016602X810,,,
66,,,,,,,10016602,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016602X9,HOR002,10,Cambio chumaceras y rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016602X910,,,
67,,,,,,,10016602,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio del raspador,10016602XA,HOR002,10,Cambio del raspador,TEC-MEC,PM01,2.0,2.0,10016602XA10,,,
68,,,,,,,10016602,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016602XB,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016602XB10,,,
69,,,,,,,10016602,XC,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016602XC,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016602XC10,,,
70,,,,,,,10016602,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016602Y1,HOR002,10,Cambio de rodamientos,TEC-ELE,PM01,2.0,0.0,10016602Y110,,,
71,,,,,,,10016602,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016602Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016602Z110,,,
72,,,,,,,10016602,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016602Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016602Z210,,,
73,,,,,,,10016602,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016602W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016602W110,,,
74,,,,,,,10016604,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016604X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,3.0,6.0,10016604X110,,,
75,,,,,,,10016604,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016604X2,HOR002,10,Cambio de acople,TEC-MEC,PM01,2.0,3.0,10016604X210,,,
76,,,,,,,10016604,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016604X3,HOR002,10,Cambio de rodamientos,TEC-MEC,PM01,3.0,14.0,10016604X310,,,
77,,,,,,,10016604,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016604X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016604X410,,,
78,,,,,,,10016604,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016604X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016604X510,,,
79,,,,,,,10016604,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016604X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016604X610,,,
80,,,,,,,10016604,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chum y rod polea,10016604X7,HOR002,10,Cambio de chumaceras de rodamientos,TEC-MEC,PM01,4.0,8.0,10016604X710,,,
81,,,,,,,10016604,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chum y rod polea,10016604X8,HOR002,10,Cambio de chumaceras de rodamientos (2),TEC-MEC,PM01,4.0,8.0,10016604X810,,,
82,,,,,,,10016604,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016604X9,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016604X910,,,
83,,,,,,,10016604,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio del raspador,10016604XA,HOR002,10,Cambio del raspador,TEC-MEC,PM01,2.0,2.0,10016604XA10,,,
84,,,,,,,10016604,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016604XB,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016604XB10,,,
85,,,,,,,10016604,XC,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016604XC,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016604XC10,,,
86,,,,,,,10016604,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016604Y1,HOR002,10,Cambio de rodamientos,TEC-ELE,PM01,2.0,5.0,10016604Y110,,,
87,,,,,,,10016604,Y2,TEC-ELE,COND,COND_ELE_FAJA Mtto de iluminacion,10016604Y2,HOR002,10,Mantenimiento de iluminacion,TEC-ELE,PM01,2.0,2.0,10016604Y210,,,
88,,,,,,,10016604,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016604Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016604Z110,,,
89,,,,,,,10016604,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016604Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016604Z210,,,
90,,,,,,,10016604,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016604W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016604W110,,,
91,,,,,,,10016606,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016606X1,HOR002,10,Cambio de acople,TEC-MEC,PM01,3.0,6.0,10016606X110,,,
92,,,,,,,10016606,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016606X2,HOR002,10,Cambio de acople de baja,TEC-MEC,PM01,2.0,3.0,10016606X210,,,
93,,,,,,,10016606,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016606X3,HOR002,10,Cambio de rodamientos,TEC-MEC,PM01,3.0,14.0,10016606X310,,,
94,,,,,,,10016606,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016606X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016606X410,,,
95,,,,,,,10016606,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016606X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016606X510,,,
96,,,,,,,10016606,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016606X6,HOR002,10,Cambio chumaceras rodamientos polea,TEC-MEC,PM01,4.0,8.0,10016606X610,,,
97,,,,,,,10016606,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chum y rod polea,10016606X7,HOR002,10,Cambio chumacera de rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016606X710,,,
98,,,,,,,10016606,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016606X8,HOR002,10,Cambio chumaceras rodamientos polea (2),TEC-MEC,PM01,4.0,8.0,10016606X810,,,
99,,,,,,,10016606,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016606X9,HOR002,10,Cambio chumaceras rodamientos polea,TEC-MEC,PM01,4.0,8.0,10016606X910,,,
100,,,,,,,10016606,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio del raspador,10016606XA,HOR002,10,Cambio del raspador,TEC-MEC,PM01,2.0,2.0,10016606XA10,,3045210,1
101,,,,,,,10016606,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016606XB,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016606XB10,,3045217,8
102,,,,,,,10016606,XC,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016606XC,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016606XC10,,,
103,,,,,,,10016606,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016606Y1,HOR002,10,Cambio de rodamientos,TEC-ELE,PM01,2.0,5.0,10016606Y110,,,
104,,,,,,,10016606,Y2,TEC-ELE,COND,COND_ELE_FAJA Mantenimiento,10016606Y2,HOR002,10,Mtto de iluminacion,TEC-ELE,PM01,2.0,2.0,10016606Y210,,,
105,,,,,,,10016606,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016606Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016606Z110,,,
106,,,,,,,10016606,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016606Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016606Z210,,,
107,,,,,,,10016606,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016606W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016606W110,,,
108,,,,,,,10016611,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016611X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,3.0,6.0,10016611X110,,,
109,,,,,,,10016611,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016611X2,HOR002,10,Cambio de acople,TEC-MEC,PM01,2.0,3.0,10016611X210,,,
110,,,,,,,10016611,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016611X3,HOR002,10,Cambio de rodamientos,TEC-MEC,PM01,3.0,14.0,10016611X310,,,
111,,,,,,,10016611,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016611X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016611X410,,,
112,,,,,,,10016611,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016611X5,HOR002,10,Cambio chumaceras y rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016611X510,,,
113,,,,,,,10016611,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016611X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016611X610,,,
114,,,,,,,10016611,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016611X7,HOR002,10,Cambio chumaceras rodamientos polea (2),TEC-MEC,PM01,4.0,8.0,10016611X710,,,
115,,,,,,,10016611,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chum rod poleas,10016611X8,HOR002,10,Cambio chumaceras y rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016611X810,,,
116,,,,,,,10016611,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio del raspador,10016611X9,HOR002,10,Cambio del raspador,TEC-MEC,PM01,2.0,2.0,10016611X910,,3045211,1
117,,,,,,,10016611,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016611XA,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016611XA10,,3045217,8
118,,,,,,,10016611,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio placas raspador,10016611XB,HOR002,10,Cambio de las placas del raspador,TEC-MEC,PM01,2.0,2.0,10016611XB10,,,
119,,,,,,,10016611,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016611Y1,HOR002,10,Cambio de rodamientos,TEC-ELE,PM01,2.0,5.0,10016611Y110,,,
120,,,,,,,10016611,Y2,TEC-ELE,COND,COND_ELE_FAJA Mantenimiento,10016611Y2,HOR002,10,Mtto de luminaria,TEC-ELE,PM01,2.0,2.0,10016611Y210,,,
121,,,,,,,10016611,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016611Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016611Z110,,,
122,,,,,,,10016611,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016611Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016611Z210,,,
123,,,,,,,10016611,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016611W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016611W110,,,
124,,,,,,,10016590,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016590X1,HOR002,10,"Cambio de acople, desmontar el acople",TEC-MEC,PM01,3.0,6.0,10016590X110,,,
125,,,,,,,10016590,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016590X2,HOR002,10,Cambio de acople de baja,TEC-MEC,PM01,2.0,3.0,10016590X210,,,
126,,,,,,,10016590,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016590X3,HOR002,10,Cambio de rodamientos de reductor,TEC-MEC,PM01,3.0,14.0,10016590X310,,,
127,,,,,,,10016590,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016590X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016590X410,,,
128,,,,,,,10016590,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016590X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016590X510,,,
129,,,,,,,10016590,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016590X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016590X610,,,
130,,,,,,,10016590,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016590X7,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016590X710,,,
