,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,HRContador,posHRContador,Frecuencia
33,10,Alineamiento laser de acople ,TEC-PRED,PM01,3.0,2.0,10016914Z3,10016914Z310,
34,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016914W1,10016914W110,
35,10,Regular juego entre dientes ,TEC-MEC,PM01,3.0,2.0,10016873X1,10016873X110,
36,10,Cambio del engranaje intermedio ,TEC-MEC,PM01,3.0,4.0,10016873X2,10016873X210,
37,10,Cambio rodamientos engranaje intermedio ,TEC-MEC,PM01,3.0,4.0,10016873X3,10016873X310,
38,10,Camb placas de revest en parte inferior ,TEC-MEC,PM01,4.0,8.0,10016873X4,10016873X410,
39,10,Inspeccion de la cubierta de los brazos ,TEC-MEC,PM01,2.0,2.0,10016873X5,10016873X510,
40,10,Cam cub prot braz pla prot inferior buje ,TEC-MEC,PM01,4.0,12.0,10016873X6,10016873X610,
41,10,Cambio de componentes del soporte axial ,TEC-MEC,PM01,4.0,12.0,10016873X7,10016873X710,
42,10,Camb casq excentrico elem desga ,TEC-MEC,PM01,4.0,12.0,10016873X8,10016873X810,
43,10,Cam comp junta antipo ,TEC-MEC,PM01,4.0,8.0,10016873X9,10016873X910,
44,10,Camb casq desgast eje princ(main shaft) ,TEC-MEC,PM01,4.0,8.0,10016873XA,10016873XA10,
45,10,Camb con trit eje principal (main shaft) ,TEC-MEC,PM01,5.0,12.0,10016873XB,10016873XB10,
46,10,Camb comp rod del casco (spider bearing) ,TEC-MEC,PM01,4.0,8.0,10016873XC,10016873XC10,
47,10,Cambio de filtro sist lub aceite ,TEC-MEC,PM01,2.0,2.0,10016873XD,10016873XD10,
48,10,Cam bomb engr rod casco (spider bearing) ,TEC-MEC,PM01,2.0,2.0,10016873XE,10016873XE10,
49,10,Cambio del cilindro hidraulico ,TEC-MEC,PM01,5.0,12.0,10016873XF,10016873XF10,
50,10,Cambio de filtro ,TEC-MEC,PM01,2.0,2.0,10016873XG,10016873XG10,
51,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,8.0,10016873Y1,10016873Y110,
52,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,3.0,10016873Y2,10016873Y210,
53,10,92 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y3,10016873Y310,
54,10,93 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y4,10016873Y410,
55,10,94 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y5,10016873Y510,
56,10,95 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y6,10016873Y610,
57,10,05 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y7,10016873Y710,
58,10,06 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y8,10016873Y810,
59,10,91 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y9,10016873Y910,
60,10,10 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,3.0,10016873YA,10016873YA10,
61,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,3.0,10016873W1,10016873W110,
62,10,Cambio de poleas sistema motriz ,TEC-MEC,PM01,2.0,4.5,10016583X1,10016583X110,
63,10,Cambio casquillo de poleas ,TEC-MEC,PM01,2.0,4.0,10016583X2,10016583X210,
64,10,Cambio acoplamiento eje de accionamiento ,TEC-MEC,PM01,2.0,2.5,10016583X3,10016583X310,
65,10,Cambio de eje de accionamiento ,TEC-MEC,PM01,2.0,4.0,10016583X4,10016583X410,
66,10,Cambio de excitador ,TEC-MEC,PM01,3.0,7.0,10016583X5,10016583X510,
67,10,Cambio de revestimientos Grizzly Bars ,TEC-MEC,PM01,2.0,4.0,10016583X6,10016583X610,
68,10,Cambio de alimentador de bastidor ,TEC-MEC,PM01,4.0,3.5,10016583X7,10016583X710,
69,10,Cambio de resortes bastidor ,TEC-MEC,PM01,3.0,16.0,10016583X8,10016583X810,
70,10,Cambio de rodamientos de motor ,TEC-ELE,PM01,2.0,5.0,10016583Y1,10016583Y110,
71,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016583W1,10016583W110,
72,10,Cambio acople eje de accionamiento ,TEC-MEC,PM01,2.0,2.5,10016900X1,10016900X110,
73,10,Cambio eje de accionamiento ,TEC-MEC,PM01,2.0,4.0,10016900X2,10016900X210,
74,10,Cambio de excitador ,TEC-MEC,PM01,3.0,7.0,10016900X3,10016900X310,
75,10,Cambio de resortes bastidor ,TEC-MEC,PM01,3.0,4.0,10016900X4,10016900X410,
76,10,Cambio rodamientos de motor ,TEC-ELE,PM01,2.0,5.0,10016900Y1,10016900Y110,
77,10,Mant Preventivo variador de velocidad ,TEC-ELE,PM01,2.0,2.0,10016900Y2,10016900Y210,
78,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,4.0,10016900W1,10016900W110,
79,10,Mantenimiento general reductor ,TEC-MEC,PM01,2.0,8.0,10016874X1,10016874X110,
80,10,Cambio de apoyos del eje motriz  ,TEC-MEC,PM01,2.0,4.0,10016874X2,10016874X210,
81,10,Cambio sprockets del eje motriz  ,TEC-MEC,PM01,4.0,14.0,10016874X3,10016874X310,
82,10,Cambio del eje motriz  ,TEC-MEC,PM01,4.0,18.0,10016874X4,10016874X410,
83,10,Cambio de ruedas tensoras ,TEC-MEC,PM01,4.0,14.0,10016874X5,10016874X510,
84,10,Cambio de placas alimentadoras ,TEC-MEC,PM01,5.0,16.0,10016874X6,10016874X610,
85,10,Cambio de cadenas ,TEC-MEC,PM01,5.0,36.0,10016874X7,10016874X710,
86,10,Cambio rodillos de carga ,TEC-MEC,PM01,3.0,6.0,10016874X8,10016874X810,
87,10,Cambio rodillos de retorno ,TEC-MEC,PM01,3.0,6.0,10016874X9,10016874X910,
88,10,Cambio de rodamientos motor ,TEC-ELE,PM01,2.0,5.0,10016874Y1,10016874Y110,
89,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016874W1,10016874W110,
90,10,Cambio de actuador neumatico ,TEC-MEC,PM01,3.0,3.0,10016618X1,10016618X110,
91,10,Cambio de valvula ,TEC-MEC,PM01,3.0,6.0,10016618X2,10016618X210,
92,10,Cambio de revestimiento ,TEC-MEC,PM01,2.0,3.0,10016618X3,10016618X310,
93,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W1,10016618W110,
94,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W1,10016618W110,
95,10,Cambio botella y/o rodam (en taller) ,TEC-MEC,PM01,2.0,8.0,10016636X1,10016636X110,
96,10,Cambio correas sist motriz ,TEC-MEC,PM01,2.0,4.0,10016636X2,10016636X210,
97,10,Cambio de poleas de sist motriz ,TEC-MEC,PM01,2.0,4.0,10016636X3,10016636X310,
98,10,Cambio de guarda de sistema motriz ,TEC-MEC,PM01,1.0,2.0,10016636X4,10016636X410,
99,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,5.0,10016636Y1,10016636Y110,
100,10,Alineamiento de fajas ,TEC-PRED,PM01,2.0,3.0,10016636Z1,10016636Z110,
101,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W1,10016636W110,
102,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W1,10016636W110,
103,10,Verif tuer pern cil  dobl efc base 660H,TEC-MEC,PM01,1.0,2.0,MCEL001M1,MCEL001M110,H4
104,20,Inspeccion general celda 330H,TEC-MEC,PM01,2.0,4.5,MCEL001M1,MCEL001M120,H3
105,30,Inspeccion general celda 2000H,TEC-MEC,PM01,2.0,4.0,MCEL001M1,MCEL001M130,HA
106,10,Mantenimiento general del tanque 8000H,TEC-MEC,PM01,2.0,4.0,MCEL001M2,MCEL001M210,HL
107,20,Mtto general agitador 8000H,TEC-MEC,PM01,2.0,68.0,MCEL001M2,MCEL001M220,HL
108,30,Mtto general valvula tipo dardo 8000H,TEC-MEC,PM01,2.0,64.0,MCEL001M2,MCEL001M230,HL
109,10,Lubricacion de los rodamientos 660H,TEC-MEC,PM01,2.0,3.0,MCEL001M3,MCEL001M310,H4
110,10,Inspeccion general motor 2S,TEC-ELE,PM01,2.0,1.0,MCEL001E1,MCEL001E110,S2
111,10,Mantenimiento menor de motor 2000H,TEC-ELE,PM01,2.0,1.0,MCEL001E2,MCEL001E210,HA
112,20,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.0,MCEL001E2,MCEL001E220,HE
113,10,Lubricacion motor electrico 8000H,TEC-ELE,PM01,2.0,0.3,MCEL001E3,MCEL001E310,HL
114,10,Verif sella valv dardo con asiento 3M,TEC-INS,PM01,2.0,2.0,MCEL001I1,MCEL001I110,S7
115,20,Inspeccion de instrumentos 2S,TEC-INS,PM01,2.0,0.5,MCEL001I1,MCEL001I120,S2
116,10,Mantenimiento de instrumentos 660H,TEC-INS,PM01,2.0,2.0,MCEL001I2,MCEL001I210,H4
117,20,Contrastacion y/o ajuste de instr 660H,TEC-INS,PM01,2.0,1.0,MCEL001I2,MCEL001I220,H4
118,30,Limpiar el interior 660H,TEC-INS,PM01,1.0,1.0,MCEL001I2,MCEL001I230,H4
119,10,Monitoreo de vibracion 330H,TEC-PRED,PM01,1.0,0.5,MCEL001P1,MCEL001P110,H3
120,20,Monitoreo de termografia 330H,TEC-PRED,PM01,1.0,0.5,MCEL001P1,MCEL001P120,H3
121,30,Monitorear nivel vibra rodamientos 330H,TEC-PRED,PM01,1.0,2.0,MCEL001P1,MCEL001P130,H3
122,40,Monit temp acople union eje rotor 330H,TEC-PRED,PM01,1.0,2.0,MCEL001P1,MCEL001P140,H3
123,50,Insp est aju pern sujecion inf eje 330H,TEC-PRED,PM01,2.0,1.0,MCEL001P1,MCEL001P150,H3
124,60,Inspeccionar estado de junta fork 2000H,TEC-PRED,PM01,2.0,1.0,MCEL001P1,MCEL001P160,HA
125,10,Ver sellado valv dardo c/ asient 3M,TEC-INS,PM01,2.0,2.0,MCEL001I3,MCEL001I310,S7
126,20,Inspeccion general celda 2S,TEC-INS,PM01,2.0,1.0,MCEL001I3,MCEL001I320,S2
127,10,Mantenimiento de instrumentos 660H,TEC-INS,PM01,2.0,2.0,MCEL001I4,MCEL001I410,H4
128,20,Pruebas de funcionamiento de instr 660H,TEC-INS,PM01,2.0,0.5,MCEL001I4,MCEL001I420,H4
129,30,Contrastacion y/o ajuste 2000H,TEC-INS,PM01,2.0,2.5,MCEL001I4,MCEL001I430,HA
130,40,Limpieza interior de tablero 660H,TEC-INS,PM01,1.0,1.0,MCEL001I4,MCEL001I440,H4
131,50,Mantenimiento de instrumentos 660H,TEC-INS,PM01,2.0,1.5,MCEL001I4,MCEL001I450,H4
132,60,Contrastacion y/o ajuste 2000H,TEC-INS,PM01,2.0,1.0,MCEL001I4,MCEL001I460,HA
133,10,Inspeccion general celda 330H,TEC-MEC,PM01,2.0,5.7,MCEL002M1,MCEL002M110,H3
134,20,Inspeccion general celda 660H,TEC-MEC,PM01,2.0,2.5,MCEL002M1,MCEL002M120,H4
135,30,Inspeccion general celda 2000H,TEC-MEC,PM01,2.0,20.0,MCEL002M1,MCEL002M130,HA
136,10,Camb filtro aceit sist hidraulico 2000H,TEC-MEC,PM01,1.0,2.0,MCEL002M2,MCEL002M210,HA
137,20,Cambio de aceite 4000H,TEC-MEC,PM01,2.0,4.0,MCEL002M2,MCEL002M220,HE
138,30,Mantenimiento general del tanque 8000H,TEC-MEC,PM01,2.0,4.0,MCEL002M2,MCEL002M230,HL
139,40,Mtto general agitador 8000H,TEC-MEC,PM01,2.0,68.0,MCEL002M2,MCEL002M240,HL
140,50,Mtto general valvula tipo dardo 8000H,TEC-MEC,PM01,2.0,64.0,MCEL002M2,MCEL002M250,HL
141,10,Lubricacion de los rodamientos  660H,TEC-MEC,PM01,2.0,3.0,MCEL002M3,MCEL002M310,H4
142,20,Lub sellos entre tub aire reductor 2000H,TEC-MEC,PM01,2.0,3.0,MCEL002M3,MCEL002M320,HA
143,10,Inspeccion general motor 2S,TEC-ELE,PM01,2.0,1.0,MCEL002E1,MCEL002E110,S2
144,10,Mantenimiento menor de motor 2000H,TEC-ELE,PM01,2.0,1.0,MCEL002E2,MCEL002E210,HA
145,20,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.5,MCEL002E2,MCEL002E220,HE
146,10,Lubricacion de motor electrico 6000H,TEC-ELE,PM01,2.0,0.3,MCEL002E3,MCEL002E310,HH
147,10,Verif sellado valv dardo asiento 3M,TEC-INS,PM01,2.0,2.0,MCEL002I1,MCEL002I110,S7
148,20,Inspeccion general celda 2S,TEC-INS,PM01,2.0,3.5,MCEL002I1,MCEL002I120,S2
149,10,Contrastacion y/o ajuste 2000H,TEC-INS,PM01,2.0,1.0,MCEL002I2,MCEL002I210,HA
150,20,Limpieza tablero de control 660H,TEC-INS,PM01,1.0,1.0,MCEL002I2,MCEL002I220,H4
151,30,Mtto general instrumentos 660H,TEC-INS,PM01,2.0,2.5,MCEL002I2,MCEL002I230,H4
152,10,Monitoreo de vibracion 330H,TEC-PRED,PM01,1.0,0.5,MCEL002P1,MCEL002P110,H3
153,20,Monitoreo de termografia 330H,TEC-PRED,PM01,1.0,0.5,MCEL002P1,MCEL002P120,H3
154,30,Monitorear nivel vibrac rodamientos 330H,TEC-PRED,PM01,1.0,1.0,MCEL002P1,MCEL002P130,H3
155,40,Monitorear temp acople alta 330H,TEC-PRED,PM01,1.0,1.0,MCEL002P1,MCEL002P140,H3
156,50,Real toma muest anali aceite reduc 2000H,TEC-PRED,PM01,2.0,1.0,MCEL002P1,MCEL002P150,HA
157,10,Inspeccion general ciclon 165H,TEC-MEC,PM01,2.0,0.6,MCIC001M1,MCIC001M110,H2
158,10,Lubricacion de valvula 660H,TEC-MEC,PM01,2.0,2.0,MCIC001M2,MCIC001M210,H4
159,20,Mtto general bateria de ciclones 1000H,TEC-MEC,PM01,2.0,17.0,MCIC001M2,MCIC001M220,H6
160,30,Mtto general bateria de ciclones 8000H,TEC-MEC,PM01,2.0,17.0,MCIC001M2,MCIC001M230,HL
161,40,Mtto general canaleta de descarga underflow 8000H,TEC-MEC,PM01,2.0,7.5,MCIC001M2,MCIC001M240,HL
162,50,Mtto general canaleta de rebalse overflow 8000H,TEC-MEC,PM01,2.0,7.5,MCIC001M2,MCIC001M250,HL
163,10,Inspeccion de componentes 2S,TEC-INS,PM01,2.0,3.0,MCIC001I1,MCIC001I110,S2
164,10,Mantenimiento 4000H,TEC-INS,PM01,2.0,10.0,MCIC001I2,MCIC001I210,HE
165,20,Contrastacion y/o ajuste 4000H,TEC-INS,PM01,2.0,5.0,MCIC001I2,MCIC001I220,HE
166,10,Inspeccion por ultrasonido 660H,TEC-PRED,PM01,2.0,3.0,MCIC001P1,MCIC001P110,H4
167,20,Inspeccion ultrasonido del ciclon 660H,TEC-PRED,PM01,2.0,3.0,MCIC001P1,MCIC001P120,H4
168,30,Inspeccion ultrasonido de tuberias 660H,TEC-PRED,PM01,2.0,3.0,MCIC001P1,MCIC001P130,H4
169,10,Inspeccion de instrumentos 2S,TEC-INS,PM01,2.0,3.0,MCIC001I3,MCIC001I310,S2
170,10,Mantenimiento de instrumentos 4000H,TEC-INS,PM01,2.0,10.0,MCIC001I4,MCIC001I410,HE
171,20,Contrastacion y/o ajuste 4000H,TEC-INS,PM01,2.0,5.0,MCIC001I4,MCIC001I420,HE
172,10,Inspeccion interna del tambor 2000H,TEC-MEC,PM01,3.0,2.0,MTAM001M1,MTAM001M110,HA
173,20,Inspeccion general tambor 165H,TEC-MEC,PM01,2.0,1.3,MTAM001M1,MTAM001M120,H2
174,10,Lubricacion por grasa 4000H,TEC-MEC,PM01,2.0,2.0,MTAM001M2,MTAM001M210,HE
175,20,Lubricacion por grasa 660H,TEC-MEC,PM01,2.0,2.0,MTAM001M2,MTAM001M220,H4
176,30,Segundo cambio de aceite 2500H,TEC-MEC,PM01,2.0,4.0,MTAM001M2,MTAM001M230,HB
177,40,Tercer y posterior cambio aceite 4000H,TEC-MEC,PM01,2.0,4.0,MTAM001M2,MTAM001M240,HE
178,50,Cambio de rueda radial 8000H,TEC-MEC,PM01,3.0,4.0,MTAM001M2,MTAM001M250,HL
179,60,Lubricacion por grasa 660H,TEC-MEC,PM01,2.0,2.0,MTAM001M2,MTAM001M260,H4
180,70,Cambio de elementos de union 8000H,TEC-MEC,PM01,3.0,3.0,MTAM001M2,MTAM001M270,HL
181,80,Lubricacion por grasa 2000H,TEC-MEC,PM01,2.0,2.0,MTAM001M2,MTAM001M280,HA
182,90,Mtto general reductor de velocidad 660H,TEC-MEC,PM01,2.0,4.1,MTAM001M2,MTAM001M290,H4
183,100,Mtto general tambor 660H,TEC-MEC,PM01,2.0,86.0,MTAM001M2,MTAM001M2100,H4
184,110,Mtto general estructura 8000H,TEC-MEC,PM01,2.0,3.1,MTAM001M2,MTAM001M2110,HL
185,10,Inspeccion general 1S,TEC-ELE,PM01,2.0,1.5,MTAM001E1,MTAM001E110,S1
186,20,Inspeccion general tambor 2S,TEC-ELE,PM01,2.0,1.5,MTAM001E1,MTAM001E120,S2
187,10,Mantenimiento menor de motor 2000H,TEC-ELE,PM01,2.0,2.0,MTAM001E2,MTAM001E210,HA
188,20,Mantenimiento Preventivo 4000H,TEC-ELE,PM01,2.0,2.0,MTAM001E2,MTAM001E220,HE
189,30,Mtto panel control y caja conex 8000H,TEC-ELE,PM01,2.0,1.5,MTAM001E2,MTAM001E230,HL
190,40,Mtto general motor 4000H,TEC-ELE,PM01,2.0,4.5,MTAM001E2,MTAM001E240,HE
191,10,Lubricacion motoro electrico 4500H,TEC-ELE,PM01,2.0,0.5,MTAM001E3,MTAM001E310,HF
192,10,Inspeccionar estado de componentes 1S,TEC-INS,PM01,2.0,3.0,MTAM001I1,MTAM001I110,S1
193,10,Mtto de instrumentos 4000H,TEC-INS,PM01,2.0,10.0,MTAM001I2,MTAM001I210,HE
194,20,Contrastacion y/o ajuste 4000H,TEC-INS,PM01,2.0,10.0,MTAM001I2,MTAM001I220,HE
195,10,Monitoreo de vibracion 330H,TEC-PRED,PM01,2.0,0.5,MTAM001P1,MTAM001P110,H3
196,20,Monitoreo de termografia 330H,TEC-PRED,PM01,2.0,0.5,MTAM001P1,MTAM001P120,H3
197,30,Monitoreo condicion por vibraciones 330H,TEC-PRED,PM01,1.0,0.3,MTAM001P1,MTAM001P130,H3
198,40,Monitoreo condicion por termografia 330H,TEC-PRED,PM01,1.0,0.3,MTAM001P1,MTAM001P140,H3
199,50,Monitoreo condicion por vibraciones 330H,TEC-PRED,PM01,1.0,0.3,MTAM001P1,MTAM001P150,H3
200,60,Monitoreo condicion por termografia 330H,TEC-PRED,PM01,1.0,0.3,MTAM001P1,MTAM001P160,H3
201,70,Monitoreo condicion por vibraciones 330H,TEC-PRED,PM01,1.0,0.3,MTAM001P1,MTAM001P170,H3
202,80,Monitoreo condicion por termografia 330H,TEC-PRED,PM01,1.0,0.3,MTAM001P1,MTAM001P180,H3
203,90,Inspeccion ultrasonido del tambor 330H,TEC-PRED,PM01,3.0,2.0,MTAM001P1,MTAM001P190,H3
204,10,Inspeccion de soplador 330H,TEC-MEC,PM01,2.0,1.0,MCHA001M1,MCHA001M110,H3
205,20,Inspeccion general chancadora 165H,TEC-MEC,PM01,2.0,14.8,MCHA001M1,MCHA001M120,H2
206,30,Inspeccion general chancadora 750H,TEC-MEC,PM01,2.0,4.3,MCHA001M1,MCHA001M130,H5
207,40,Inspeccion general chancadora 4000H,TEC-MEC,PM01,2.0,5.0,MCHA001M1,MCHA001M140,HE
208,10,Cambio de embrague 4000H,TEC-MEC,PM01,2.0,2.0,MCHA001M2,MCHA001M210,HE
209,20,Cambio de acoplamiento 4000H,TEC-MEC,PM01,2.0,2.0,MCHA001M2,MCHA001M220,HE
210,30,Cambio de las piezas de desgaste 8000H,TEC-MEC,PM01,4.0,12.0,MCHA001M2,MCHA001M230,HL
211,40,Cambio concavos de la trituradora 8000H,TEC-MEC,PM01,5.0,42.0,MCHA001M2,MCHA001M240,HL
212,50,Cambio concavos de la trituradora 8000H,TEC-MEC,PM01,5.0,42.0,MCHA001M2,MCHA001M250,HL
213,60,Cambio rueda conica 8000H,TEC-MEC,PM01,4.0,12.0,MCHA001M2,MCHA001M260,HL
214,70,Cambio eje principal (main shaft) 4000H,TEC-MEC,PM01,5.0,36.0,MCHA001M2,MCHA001M270,HE
215,80,Limpieza de la rejilla del dposito 165H,TEC-MEC,PM01,2.0,1.0,MCHA001M2,MCHA001M280,H2
216,90,Recarga dispositivo de compensacion 750H,TEC-MEC,PM01,2.0,1.0,MCHA001M2,MCHA001M290,H5
217,100,Mantenimiento de soplador 2000H,TEC-MEC,PM01,2.0,3.0,MCHA001M2,MCHA001M2100,HA
218,110,Cambio de filtros de soplador 4000H,TEC-MEC,PM01,2.0,2.0,MCHA001M2,MCHA001M2110,HE
219,10,Cambio de aceite 8000H,TEC-MEC,PM01,0.0,2.0,MCHA001M3,MCHA001M310,HL
220,20,Verificar nivel de aceite 165H,TEC-MEC,PM01,0.0,4.0,MCHA001M3,MCHA001M320,H2
221,30,Inspeccion filtro del respirador 750H,TEC-MEC,PM01,0.0,2.0,MCHA001M3,MCHA001M330,H5
222,40,Cambio de grasa 4000H,TEC-MEC,PM01,0.0,4.0,MCHA001M3,MCHA001M340,HE
223,50,Cambio de aceite 2000H,TEC-MEC,PM01,2.0,4.0,MCHA001M3,MCHA001M350,HA
224,60,Cambio de aceite 4000H,TEC-MEC,PM01,2.0,4.0,MCHA001M3,MCHA001M360,HE
225,10,Insp caja de terminales del rotor 3M,TEC-ELE,PM01,2.0,2.0,MCHA001E1,MCHA001E110,S7
226,20,Inspeccion general motor 1S,TEC-ELE,PM01,2.0,20.5,MCHA001E1,MCHA001E120,S1
227,10,Limpieza del panel de control 2000H,TEC-ELE,PM01,1.0,2.0,MCHA001E2,MCHA001E210,HA
228,20,Mantenimiento gabinete control 2000H,TEC-ELE,PM01,2.0,2.0,MCHA001E2,MCHA001E220,HA
229,30,Mtto general botonera de campo 2000H,TEC-ELE,PM01,2.0,2.0,MCHA001E2,MCHA001E230,HA
230,40,Mtto general cajas de conexiones 2000H,TEC-ELE,PM01,2.0,4.0,MCHA001E2,MCHA001E240,HA
231,50,Mtto general calentador 2000H,TEC-ELE,PM01,2.0,10.0,MCHA001E2,MCHA001E250,HA
232,60,Mtto general lrs 2000H,TEC-ELE,PM01,2.0,7.0,MCHA001E2,MCHA001E260,HA
233,70,Mtto general motor electrico b 2000H,TEC-ELE,PM01,2.0,2.5,MCHA001E2,MCHA001E270,HA
234,80,Mtto general motor electrico chancadora 2000H,TEC-ELE,PM01,2.0,10.8,MCHA001E2,MCHA001E280,HA
235,90,Mtto general motor electrico f 2000H,TEC-ELE,PM01,2.0,6.0,MCHA001E2,MCHA001E290,HA
236,100,Mtto general motor electrico h 2000H,TEC-ELE,PM01,2.0,20.0,MCHA001E2,MCHA001E2100,HA
237,110,Mtto general motor electrico lrs 2000H,TEC-ELE,PM01,2.0,4.5,MCHA001E2,MCHA001E2110,HA
238,120,Mtto general motor electrico p 2000H,TEC-ELE,PM01,2.0,50.0,MCHA001E2,MCHA001E2120,HA
239,10,10 - Lubricacion de rodamiento 8000H,TEC-ELE,PM01,2.0,0.5,MCHA001E3,MCHA001E310,HL
240,20,Lubricacion general motor electrico chancadora 4000H,TEC-ELE,PM01,2.0,1.0,MCHA001E3,MCHA001E320,HE
241,30,Lubricacion general motor electrico h 8000H,TEC-ELE,PM01,2.0,1.0,MCHA001E3,MCHA001E330,HL
242,40,Lubricacion general motor electrico p 8000H,TEC-ELE,PM01,2.0,2.5,MCHA001E3,MCHA001E340,HL
243,10,Inspeccion general chancadora 1S,TEC-INS,PM01,2.0,8.5,MCHA001I1,MCHA001I110,S1
244,10,Mtto instrumentos chancadora 2000H,TEC-INS,PM01,2.0,4.0,MCHA001I2,MCHA001I210,HA
245,20,Contrastacion y/o ajuste 2000H,TEC-INS,PM01,2.0,1.0,MCHA001I2,MCHA001I220,HA
246,30,Mtto instru sist accionamiento 2000H,TEC-INS,PM01,2.0,3.5,MCHA001I2,MCHA001I230,HA
247,40,Mtto de instrumentos del LRS 2000H,TEC-INS,PM01,2.0,4.0,MCHA001I2,MCHA001I240,HA
