,GrupoHR,Contador,HRDescripcion,HRPuesto,GPlanificacion,EstadoGlobal,EstadoInstalacion,Estrategia,HRContador,EstrategiaMTTO,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Frecuencia
17,10016613,X1,COND_MEC_CICLO Cambio actuador neumatico,TEC-MEC,P01,4.0,1.0,HOR002,10016613X1,COND,10,Cambio de actuador neumatico ,TEC-MEC,PM01,3.0,3.0,10016613X110,
18,10016613,X2,COND_MEC_CICLO Cambio de valvula,TEC-MEC,P01,4.0,1.0,HOR002,10016613X2,COND,10,Cambio de valvula ,TEC-MEC,PM01,3.0,6.0,10016613X210,
19,10016613,X3,COND_MEC_CICLO Cambio revestimiento,TEC-MEC,P01,4.0,1.0,HOR002,10016613X3,COND,10,Cambio de revestimiento ,TEC-MEC,PM01,2.0,3.0,10016613X310,
20,10016613,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016613W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016613W110,
21,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
22,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
23,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
24,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
25,10016914,X1,COND_MEC_TAMBO Cambio de acople,TEC-MEC,P01,4.0,1.0,HOR002,10016914X1,COND,10,Cambio de acople ,TEC-MEC,PM01,2.0,2.0,10016914X110,
26,10016914,X2,COND_MEC_TAMBO Cambio de acople,TEC-MEC,P01,4.0,1.0,HOR002,10016914X2,COND,10,Cambio de acople ,TEC-MEC,PM01,2.0,2.0,10016914X210,
27,10016914,X3,COND_MEC_TAMBO Cambio de rodamientos,TEC-MEC,P01,4.0,1.0,HOR002,10016914X3,COND,10,Cambio de rodamientos ,TEC-MEC,PM01,2.0,4.0,10016914X310,
28,10016914,X4,COND_MEC_TAMBO Cambio de sellos radiales,TEC-MEC,P01,4.0,1.0,HOR002,10016914X4,COND,10,Cambio de sellos radiales ,TEC-MEC,PM01,2.0,4.0,10016914X410,
29,10016914,X5,COND_MEC_TAMBO Cambio portarodam rodillo,TEC-MEC,P01,4.0,1.0,HOR002,10016914X5,COND,10,Cambio de portarodamientos del rodillo ,TEC-MEC,PM01,3.0,4.0,10016914X510,
30,10016914,X6,COND_MEC_TAMBO Cambio rodillo axial,TEC-MEC,P01,4.0,1.0,HOR002,10016914X6,COND,10,Cambio de rodillo axial ,TEC-MEC,PM01,3.0,4.0,10016914X610,
31,10016914,X7,COND_MEC_TAMBO Cambio de acople,TEC-MEC,P01,4.0,1.0,HOR002,10016914X7,COND,10,Cambio de acople ,TEC-MEC,PM01,2.0,2.0,10016914X710,
32,10016914,X8,COND_MEC_TAMBO Cambio de distribuidores,TEC-MEC,P01,4.0,1.0,HOR002,10016914X8,COND,10,Cambio de distribuidores ,TEC-MEC,PM01,3.0,3.0,10016914X810,
33,10016914,X9,COND_MEC_TAMBO Cambio bomba engrase,TEC-MEC,P01,4.0,1.0,HOR002,10016914X9,COND,10,Cambio de bomba de engrase ,TEC-MEC,PM01,2.0,2.0,10016914X910,
34,10016914,Y1,COND_ELE_TAMBO Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016914Y1,COND,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,10.0,10016914Y110,
35,10016914,Z1,COND_PRED_TAMBO Alineamient laser acople,TEC-PRED,P01,4.0,1.0,HOR002,10016914Z1,COND,10,Alineamiento laser de acople ,TEC-PRED,PM01,3.0,2.0,10016914Z110,
36,10016914,Z2,COND_PRED_TAMBO Alineamient laser acople,TEC-PRED,P01,4.0,1.0,HOR002,10016914Z2,COND,10,Alineamiento laser de acople ,TEC-PRED,PM01,3.0,2.0,10016914Z210,
37,10016914,Z3,COND_PRED_TAMBO Alineamient laser acople,TEC-PRED,P01,4.0,1.0,HOR002,10016914Z3,COND,10,Alineamiento laser de acople ,TEC-PRED,PM01,3.0,2.0,10016914Z310,
38,10016914,W1,COND_INS_TAMBO_ 2045MTPH,TEC-INS,P01,4.0,1.0,HOR002,10016914W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016914W110,
39,10016873,X1,COND_MEC_CHANC Regular juego dientes,TEC-MEC,P01,4.0,1.0,HOR002,10016873X1,COND,10,Regular juego entre dientes ,TEC-MEC,PM01,3.0,2.0,10016873X110,
40,10016873,X2,COND_MEC_CHANC Cambio engranaje intermed,TEC-MEC,P01,4.0,1.0,HOR002,10016873X2,COND,10,Cambio del engranaje intermedio ,TEC-MEC,PM01,3.0,4.0,10016873X210,
41,10016873,X3,COND_MEC_CHANC Cambio rod engranaje inte,TEC-MEC,P01,4.0,1.0,HOR002,10016873X3,COND,10,Cambio rodamientos engranaje intermedio ,TEC-MEC,PM01,3.0,4.0,10016873X310,
42,10016873,X4,COND_MEC_CHANC Cambio placas revest inf,TEC-MEC,P01,4.0,1.0,HOR002,10016873X4,COND,10,Camb placas de revest en parte inferior ,TEC-MEC,PM01,4.0,8.0,10016873X410,
43,10016873,X5,COND_MEC_CHANC Insp cubierta brazos,TEC-MEC,P01,4.0,1.0,HOR002,10016873X5,COND,10,Inspeccion de la cubierta de los brazos ,TEC-MEC,PM01,2.0,2.0,10016873X510,
44,10016873,X6,COND_MEC_CHANC Camb cubierta brazos,TEC-MEC,P01,4.0,1.0,HOR002,10016873X6,COND,10,Cam cub prot braz pla prot inferior buje ,TEC-MEC,PM01,4.0,12.0,10016873X610,
45,10016873,X7,COND_MEC_CHANC Camb comp soporte axial,TEC-MEC,P01,4.0,1.0,HOR002,10016873X7,COND,10,Cambio de componentes del soporte axial ,TEC-MEC,PM01,4.0,12.0,10016873X710,
46,10016873,X8,COND_MEC_CHANC Camb casq excen elem desg,TEC-MEC,P01,4.0,1.0,HOR002,10016873X8,COND,10,Camb casq excentrico elem desga ,TEC-MEC,PM01,4.0,12.0,10016873X810,
47,10016873,X9,COND_MEC_CHANC Camb comp junta antipolvo,TEC-MEC,P01,4.0,1.0,HOR002,10016873X9,COND,10,Cam comp junta antipo ,TEC-MEC,PM01,4.0,8.0,10016873X910,
48,10016873,XA,COND_MEC_CHANC Camb casq desg eje princi,TEC-MEC,P01,4.0,1.0,HOR002,10016873XA,COND,10,Camb casq desgast eje princ(main shaft) ,TEC-MEC,PM01,4.0,8.0,10016873XA10,
49,10016873,XB,COND_MEC_CHANC Camb con tritur eje princ,TEC-MEC,P01,4.0,1.0,HOR002,10016873XB,COND,10,Camb con trit eje principal (main shaft) ,TEC-MEC,PM01,5.0,12.0,10016873XB10,
50,10016873,XC,COND_MEC_CHANC Camb comp rodamient casco,TEC-MEC,P01,4.0,1.0,HOR002,10016873XC,COND,10,Camb comp rod del casco (spider bearing) ,TEC-MEC,PM01,4.0,8.0,10016873XC10,
51,10016873,XD,COND_MEC_CHANC Cambio de filtro,TEC-MEC,P01,4.0,1.0,HOR002,10016873XD,COND,10,Cambio de filtro sist lub aceite ,TEC-MEC,PM01,2.0,2.0,10016873XD10,
52,10016873,XE,COND_MEC_CHANC Camb bomb engra rod casco,TEC-MEC,P01,4.0,1.0,HOR002,10016873XE,COND,10,Cam bomb engr rod casco (spider bearing) ,TEC-MEC,PM01,2.0,2.0,10016873XE10,
53,10016873,XF,COND_MEC_CHANC Camb cilindro hidraulico,TEC-MEC,P01,4.0,1.0,HOR002,10016873XF,COND,10,Cambio del cilindro hidraulico ,TEC-MEC,PM01,5.0,12.0,10016873XF10,
54,10016873,XG,COND_MEC_CHANC Cambio de filtro,TEC-MEC,P01,4.0,1.0,HOR002,10016873XG,COND,10,Cambio de filtro ,TEC-MEC,PM01,2.0,2.0,10016873XG10,
55,10016873,Y1,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y1,COND,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,8.0,10016873Y110,
56,10016873,Y2,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y2,COND,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,3.0,10016873Y210,
57,10016873,Y3,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y3,COND,10,92 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y310,
58,10016873,Y4,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y4,COND,10,93 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y410,
59,10016873,Y5,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y5,COND,10,94 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y510,
60,10016873,Y6,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y6,COND,10,95 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y610,
61,10016873,Y7,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y7,COND,10,05 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y710,
62,10016873,Y8,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y8,COND,10,06 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y810,
63,10016873,Y9,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873Y9,COND,10,91 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,4.0,10016873Y910,
64,10016873,YA,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016873YA,COND,10,10 - Cambio de rodamientos ,TEC-ELE,PM01,2.0,3.0,10016873YA10,
65,10016873,W1,COND_INS_CHANC_ KB-54-67,TEC-INS,P01,4.0,1.0,HOR002,10016873W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,3.0,10016873W110,
66,10016583,X1,COND_MEC_ALIME Cambio poleas sist motriz,TEC-MEC,P01,4.0,1.0,HOR002,10016583X1,COND,10,Cambio de poleas sistema motriz ,TEC-MEC,PM01,2.0,4.5,10016583X110,
67,10016583,X2,COND_MEC_ALIME Cambio casquillo poleas,TEC-MEC,P01,4.0,1.0,HOR002,10016583X2,COND,10,Cambio casquillo de poleas ,TEC-MEC,PM01,2.0,4.0,10016583X210,
68,10016583,X3,COND_MEC_ALIME Camb acop eje accionamt,TEC-MEC,P01,4.0,1.0,HOR002,10016583X3,COND,10,Cambio acoplamiento eje de accionamiento ,TEC-MEC,PM01,2.0,2.5,10016583X310,
69,10016583,X4,COND_MEC_ALIME Camb acop eje accionamt,TEC-MEC,P01,4.0,1.0,HOR002,10016583X4,COND,10,Cambio de eje de accionamiento ,TEC-MEC,PM01,2.0,4.0,10016583X410,
70,10016583,X5,COND_MEC_ALIME Cambio de excitador,TEC-MEC,P01,4.0,1.0,HOR002,10016583X5,COND,10,Cambio de excitador ,TEC-MEC,PM01,3.0,7.0,10016583X510,
71,10016583,X6,COND_MEC_ALIME Camb revestimientos,TEC-MEC,P01,4.0,1.0,HOR002,10016583X6,COND,10,Cambio de revestimientos Grizzly Bars ,TEC-MEC,PM01,2.0,4.0,10016583X610,
72,10016583,X7,COND_MEC_ALIME Camb alimentador bastidor,TEC-MEC,P01,4.0,1.0,HOR002,10016583X7,COND,10,Cambio de alimentador de bastidor ,TEC-MEC,PM01,4.0,3.5,10016583X710,
73,10016583,X8,COND_MEC_ALIME Camb resortes bastidor,TEC-MEC,P01,4.0,1.0,HOR002,10016583X8,COND,10,Cambio de resortes bastidor ,TEC-MEC,PM01,3.0,16.0,10016583X810,
74,10016583,Y1,COND_ELE_ALIME Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016583Y1,COND,10,Cambio de rodamientos de motor ,TEC-ELE,PM01,2.0,5.0,10016583Y110,
75,10016583,W1,COND_INS_ALIME_ 2.1x4.8 SCHENCK GRIZZLY,TEC-INS,P01,4.0,1.0,HOR002,10016583W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016583W110,
76,10016900,X1,COND_MEC_ALIME Camb acop eje accionamt,TEC-MEC,P01,4.0,1.0,HOR002,10016900X1,COND,10,Cambio acople eje de accionamiento ,TEC-MEC,PM01,2.0,2.5,10016900X110,
77,10016900,X2,COND_MEC_ALIME Cambio eje accionamiento,TEC-MEC,P01,4.0,1.0,HOR002,10016900X2,COND,10,Cambio eje de accionamiento ,TEC-MEC,PM01,2.0,4.0,10016900X210,
78,10016900,X3,COND_MEC_ALIME Cambio de excitador,TEC-MEC,P01,4.0,1.0,HOR002,10016900X3,COND,10,Cambio de excitador ,TEC-MEC,PM01,3.0,7.0,10016900X310,
79,10016900,X4,COND_MEC_ALIME Camb resortes bastidor,TEC-MEC,P01,4.0,1.0,HOR002,10016900X4,COND,10,Cambio de resortes bastidor ,TEC-MEC,PM01,3.0,4.0,10016900X410,
80,10016900,Y1,COND_ELE_ALIME Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016900Y1,COND,10,Cambio rodamientos de motor ,TEC-ELE,PM01,2.0,5.0,10016900Y110,
81,10016900,Y2,COND_ELE_ALIME Mtto variador d velocidad,TEC-ELE,P01,4.0,1.0,HOR002,10016900Y2,COND,10,Mant Preventivo variador de velocidad ,TEC-ELE,PM01,2.0,2.0,10016900Y210,
82,10016900,W1,COND_INS_ALIME_ 3x4x4.8 SCHENCK DIVERG,TEC-INS,P01,4.0,1.0,HOR002,10016900W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,4.0,10016900W110,
83,10016874,X1,COND_MEC_ALIME Mtto reductor combinado,TEC-MEC,P01,4.0,1.0,HOR002,10016874X1,COND,10,Mantenimiento general reductor ,TEC-MEC,PM01,2.0,8.0,10016874X110,
84,10016874,X2,COND_MEC_ALIME Camb apoyos eje motriz,TEC-MEC,P01,4.0,1.0,HOR002,10016874X2,COND,10,Cambio de apoyos del eje motriz  ,TEC-MEC,PM01,2.0,4.0,10016874X210,
85,10016874,X3,COND_MEC_ALIME Camb sprockets eje motriz,TEC-MEC,P01,4.0,1.0,HOR002,10016874X3,COND,10,Cambio sprockets del eje motriz  ,TEC-MEC,PM01,4.0,14.0,10016874X310,
86,10016874,X4,COND_MEC_ALIME Cambio eje motriz,TEC-MEC,P01,4.0,1.0,HOR002,10016874X4,COND,10,Cambio del eje motriz  ,TEC-MEC,PM01,4.0,18.0,10016874X410,
87,10016874,X5,COND_MEC_ALIME Cambio ruedas tensoras,TEC-MEC,P01,4.0,1.0,HOR002,10016874X5,COND,10,Cambio de ruedas tensoras ,TEC-MEC,PM01,4.0,14.0,10016874X510,
88,10016874,X6,COND_MEC_ALIME Camb placas alimentadoras,TEC-MEC,P01,4.0,1.0,HOR002,10016874X6,COND,10,Cambio de placas alimentadoras ,TEC-MEC,PM01,5.0,16.0,10016874X610,
89,10016874,X7,COND_MEC_ALIME Cambio cadenas,TEC-MEC,P01,4.0,1.0,HOR002,10016874X7,COND,10,Cambio de cadenas ,TEC-MEC,PM01,5.0,36.0,10016874X710,
90,10016874,X8,COND_MEC_ALIME Cambio rodillos de carga,TEC-MEC,P01,4.0,1.0,HOR002,10016874X8,COND,10,Cambio rodillos de carga ,TEC-MEC,PM01,3.0,6.0,10016874X810,
91,10016874,X9,COND_MEC_ALIME Camb rodillos de retorno,TEC-MEC,P01,4.0,1.0,HOR002,10016874X9,COND,10,Cambio rodillos de retorno ,TEC-MEC,PM01,3.0,6.0,10016874X910,
92,10016874,Y1,COND_ELE_ALIME Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016874Y1,COND,10,Cambio de rodamientos motor ,TEC-ELE,PM01,2.0,5.0,10016874Y110,
93,10016874,W1,COND_INS_ALIME_ AF572-MN8800 -50hp,TEC-INS,P01,4.0,1.0,HOR002,10016874W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016874W110,
94,10016618,X1,COND_MEC_CICLO Cambio actuador neumatico,TEC-MEC,P01,4.0,1.0,HOR002,10016618X1,COND,10,Cambio de actuador neumatico ,TEC-MEC,PM01,3.0,3.0,10016618X110,
95,10016618,X2,COND_MEC_CICLO Cambio de valvula,TEC-MEC,P01,4.0,1.0,HOR002,10016618X2,COND,10,Cambio de valvula ,TEC-MEC,PM01,3.0,6.0,10016618X210,
96,10016618,X3,COND_MEC_CICLO Cambio revestimiento,TEC-MEC,P01,4.0,1.0,HOR002,10016618X3,COND,10,Cambio de revestimiento ,TEC-MEC,PM01,2.0,3.0,10016618X310,
97,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
98,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
99,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
100,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,P01,4.0,1.0,HOR002,10016618W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W110,
101,10016636,X1,COND_MEC_CELDA Cambio botella o rodamien,TEC-MEC,P01,4.0,1.0,HOR002,10016636X1,COND,10,Cambio botella y/o rodam (en taller) ,TEC-MEC,PM01,2.0,8.0,10016636X110,
102,10016636,X2,COND_MEC_CELDA Cambio de correas,TEC-MEC,P01,4.0,1.0,HOR002,10016636X2,COND,10,Cambio correas sist motriz ,TEC-MEC,PM01,2.0,4.0,10016636X210,
103,10016636,X3,COND_MEC_CELDA Cambio de poleas,TEC-MEC,P01,4.0,1.0,HOR002,10016636X3,COND,10,Cambio de poleas de sist motriz ,TEC-MEC,PM01,2.0,4.0,10016636X310,
104,10016636,X4,COND_MEC_CELDA Cambio de guarda,TEC-MEC,P01,4.0,1.0,HOR002,10016636X4,COND,10,Cambio de guarda de sistema motriz ,TEC-MEC,PM01,1.0,2.0,10016636X410,
105,10016636,Y1,COND_ELE_CELDA Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016636Y1,COND,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,5.0,10016636Y110,
106,10016636,Z1,COND_PRED_CELDA Alineamiento de fajas,TEC-PRED,P01,4.0,1.0,HOR002,10016636Z1,COND,10,Alineamiento de fajas ,TEC-PRED,PM01,2.0,3.0,10016636Z110,
107,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos de celda ,TEC-INS,PM01,2.0,2.0,10016636W110,
108,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos de celda ,TEC-INS,PM01,2.0,2.0,10016636W110,
109,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W110,
110,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W110,
111,MCEL001,M1,INSP_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M1,INSP,10,Verif tuer pern cil  dobl efc base 660H,TEC-MEC,PM01,1.0,2.0,MCEL001M110,H4
112,MCEL001,M1,INSP_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M1,INSP,20,Inspeccion general celda 330H,TEC-MEC,PM01,2.0,4.5,MCEL001M120,H3
113,MCEL001,M1,INSP_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M1,INSP,30,Inspeccion general celda 2000H,TEC-MEC,PM01,2.0,4.0,MCEL001M130,HA
114,MCEL001,M2,PREV_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M2,PREV,10,Mantenimiento general del tanque 8000H,TEC-MEC,PM01,2.0,4.0,MCEL001M210,HL
115,MCEL001,M2,PREV_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M2,PREV,20,Mtto general agitador 8000H,TEC-MEC,PM01,2.0,68.0,MCEL001M220,HL
116,MCEL001,M2,PREV_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M2,PREV,30,Mtto general valvula tipo dardo 8000H,TEC-MEC,PM01,2.0,64.0,MCEL001M230,HL
117,MCEL001,M3,LUBR_MEC_CELDA_ Tce30,TEC-MEC,P01,4.0,1.0,HOR002,MCEL001M3,LUBR,10,Lubricacion de los rodamientos 660H,TEC-MEC,PM01,2.0,3.0,MCEL001M310,H4
118,MCEL001,E1,INSP_ELE_CELDA_ Tce30,TEC-ELE,P01,4.0,1.0,CAL001,MCEL001E1,INSP,10,Inspeccion general motor 2S,TEC-ELE,PM01,2.0,1.0,MCEL001E110,S2
119,MCEL001,E2,PREV_ELE_CELDA_ Tce30,TEC-ELE,P01,4.0,1.0,HOR002,MCEL001E2,PREV,10,Mantenimiento menor de motor 2000H,TEC-ELE,PM01,2.0,1.0,MCEL001E210,HA
120,MCEL001,E2,PREV_ELE_CELDA_ Tce30,TEC-ELE,P01,4.0,1.0,HOR002,MCEL001E2,PREV,20,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.0,MCEL001E220,HE
121,MCEL001,E3,LUBR_ELE_CELDA_ Tce30,TEC-ELE,P01,4.0,1.0,HOR002,MCEL001E3,LUBR,10,Lubricacion motor electrico 8000H,TEC-ELE,PM01,2.0,0.3,MCEL001E310,HL
122,MCEL001,I1,INSP_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,CAL001,MCEL001I1,INSP,10,Verif sella valv dardo con asiento 3M,TEC-INS,PM01,2.0,2.0,MCEL001I110,S7
123,MCEL001,I1,INSP_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,CAL001,MCEL001I1,INSP,20,Inspeccion de instrumentos 2S,TEC-INS,PM01,2.0,0.5,MCEL001I120,S2
124,MCEL001,I2,PREV_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,MCEL001I2,PREV,10,Mantenimiento de instrumentos 660H,TEC-INS,PM01,2.0,2.0,MCEL001I210,H4
125,MCEL001,I2,PREV_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,MCEL001I2,PREV,20,Contrastacion y/o ajuste de instr 660H,TEC-INS,PM01,2.0,1.0,MCEL001I220,H4
126,MCEL001,I2,PREV_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,MCEL001I2,PREV,30,Limpiar el interior 660H,TEC-INS,PM01,1.0,1.0,MCEL001I230,H4
