,key_dutie,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo,Date task done,Man hour,Strategy
27,2242-PU-275|02-01-04,"Utilizar para su lubricación una grasa de grado NLGI 3 - SKF LGMT3, 0.48kg.",LUBR,TEC-MEC,DET,0.5,1,660.0,H,2021-04-01,0.5,660H
28,2242-PU-275|02-02-01,"Desmontar el impulsor, retirar manguito y junta desgastado, comprobar medidas de manguito nuevo, montar en el eje con junta nueva, montar impulsor.",PREV,TEC-MEC,DET,0.5,2,4000.0,H,2021-04-01,1.0,4000H
29,2242-PU-275|02-02-02,"Desmontar el eje del equipo, verificar con la ayuda de reloj comparador ovalicidad, conicidad y desgaste especialmente en zonas de apoyo de rodamientos y sellos. De presentar desgaste en el eje, recuperar la medida por medio de camisetas o bujes de desgaste.",INSP,TEC-MEC,DET,5.0,2,8000.0,H,2021-04-01,10.0,8000H
30,2242-PU-275|02-03-01,"Verificar ajuste de pernos de carcasa y ajustar de ser necesario, inspeccionar fugas en lado succión y lado de descarga, cambiar empaque de ser necesario.",INSP,TEC-MEC,MAR,4.0,2,660.0,H,2021-04-01,8.0,660H
31,2242-PU-275|02-03-02,"Limpiar la parte externa del equipo, arenar y/o pintar la bomba para evitar corrosión y desgastes externos.",PREV,TEC-MEC,DET,5.0,2,8000.0,H,2021-04-01,10.0,8000H
32,2242-PU-275|02-03-03,"Desmontar la voluta, retirar los pernos de unión de la carcasa, retirar eje e impulsor, retirar pernos de sujeción de revestimiento, cambiar forros, ajustar forros nuevos, montar eje e impulsor, armar la carcasa, montar la voluta.",PREV,TEC-MEC,DET,4.0,3,4000.0,H,2021-04-01,12.0,4000H
33,2242-PU-275|02-04-01,"Desmontar en la carcasa el lado de la succión para tener acceso al impulsor, determinar el estado del impulsor (desgaste y/o corrosión), desmontar el impulsor del eje, verificar el desgaste en el eje, verificar el anillo de desgaste, montar el nuevo impulsor, regular la holgura entre carcasa e impulsor, torquear el perno de ajuste del impulsor, inspección y reemplazo de las empaquetaduras, torquear pernos de la carcasa(ajustar los pernos en cruz).",PREV,TEC-MEC,DET,3.0,3,4000.0,H,2021-04-01,9.0,4000H
34,2242-PU-275|02-05-01,"Verificar nivel de goteo en lado prensaestopas, de haber un flujo excesivo en la zona de sello ajustar prensaestopas, de haber goteo inferior a la condición normal de operación liberar los pernos de prensaestopas, verificar temperatura en la zona, de presentar sobrecalentamiento realizar cambio de estopas.",INSP,TEC-MEC,MAR,0.5,1,660.0,H,2021-04-01,0.5,660H
35,2242-PU-275|02-05-02,"Desmontar prensa estopa y extraer los sellos (estopas/cuerda grafitada), extraer del anillo difusor, preparar los sellos para cambio (determinar correctamente la longitud y realizar los cortes de los mismos en diagonal para lograr un mejor sellado), montar los sellos y el anillo difusor (tener en cuenta la posición del anillo difusor pues este debe de quedar a la altura del punto de lubricación con agua), montar la prensa estopa y ajustar los pernos hasta lograr un punto de goteo adecuado(este cantidad de goteo depende del diámetro del eje).",PREV,TEC-MEC,DET,1.0,2,2000.0,H,2021-04-01,2.0,2000H
36,2242-PU-275|02-06-01,"Cambiar los elementos de unión como pernos, chavetas, pasadores, etc. De presentarse estiramiento, o deformación por esfuerzos de compresión, tracción o cizallamiento.",PREV,TEC-MEC,DET,1.0,2,8000.0,H,2021-04-01,2.0,8000H
37,2243-PU-213|01-03-01,"Destensar pernos de base del motor, retirar fajas, colocar fajas nuevas, regular tensión de fajas a través de los pernos de la base del motor.",PREV,TEC-MEC,DET,1.0,2,4000.0,H,2021-04-01,2.0,4000H
38,2243-PU-213|02-01-04,"Utilizar para su lubricación una grasa de grado NLGI 3 - SKF LGMT3, 0.30kg.",LUBR,TEC-MEC,DET,0.5,1,660.0,H,2021-04-01,0.5,660H
39,2243-PU-213|02-02-01,"Desmontar el impulsor, retirar manguito y junta desgastado, comprobar medidas de manguito nuevo, montar en el eje con junta nueva, montar impulsor.",PREV,TEC-MEC,DET,0.5,2,4000.0,H,2021-04-01,1.0,4000H
40,2243-PU-213|02-02-02,"Desmontar el eje del equipo, verificar con la ayuda de reloj comparador ovalicidad, conicidad y desgaste especialmente en zonas de apoyo de rodamientos y sellos. De presentar desgaste en el eje, recuperar la medida por medio de camisetas o bujes de desgaste.",INSP,TEC-MEC,DET,5.0,2,8000.0,H,2021-04-01,10.0,8000H
41,2243-PU-213|02-03-01,"Verificar ajuste de pernos de carcasa y ajustar de ser necesario, inspeccionar fugas en lado succión y lado de descarga, cambiar empaque de ser necesario.",INSP,TEC-MEC,MAR,4.0,2,660.0,H,2021-04-01,8.0,660H
42,2243-PU-213|02-03-02,"Limpiar la parte externa del equipo, arenar y/o pintar la bomba para evitar corrosión y desgastes externos.",PREV,TEC-MEC,DET,4.0,2,8000.0,H,2021-04-01,8.0,8000H
43,2243-PU-213|02-03-03,"Desmontar la voluta, retirar los pernos de unión de la carcasa, retirar eje e impulsor, retirar pernos de sujeción de revestimiento, cambiar forros, ajustar forros nuevos, montar eje e impulsor, armar la carcasa, montar la voluta.",PREV,TEC-MEC,DET,4.0,3,4000.0,H,2021-04-01,12.0,4000H
44,2243-PU-213|02-04-01,"Desmontar en la carcasa el lado de la succión para tener acceso al impulsor, determinar el estado del impulsor (desgaste y/o corrosión), desmontar el impulsor del eje, verificar el desgaste en el eje, verificar el anillo de desgaste, montar el nuevo impulsor, regular la holgura entre carcaza e impulsor, torquear el perno de ajuste del impulsor, inspección y reemplazo de las empaquetaduras, torquear pernos de la carcasa (ajustar los pernos en cruz).",PREV,TEC-MEC,DET,5.0,3,4000.0,H,2021-04-01,15.0,4000H
45,2243-PU-213|02-05-01,"Verificar nivel de goteo en lado prensaestopas, de haber un flujo excesivo en la zona de sello ajustar prensaestopas, de haber goteo inferior a la condición normal de operación liberar los pernos de prensaestopas, verificar temperatura en la zona, de presentar sobrecalentamiento realizar cambio de estopas.",INSP,TEC-MEC,MAR,0.5,1,660.0,H,2021-04-01,0.5,660H
46,2243-PU-213|02-05-02,"Desmontar prensa estopa y extraer los sellos (estopas/cuerda grafitada), extraer del anillo difusor, preparar los sellos para cambio (determinar correctamente la longitud y realizar los cortes de los mismos en diagonal para lograr un mejor sellado), montar los sellos y el anillo difusor (tener en cuenta la posición del anillo difusor pues este debe de quedar a la altura del punto de lubricación con agua), montar la prensa estopa y ajustar los pernos hasta lograr un punto de goteo adecuado (este cantidad de goteo depende del diámetro del eje).",PREV,TEC-MEC,DET,1.0,2,2000.0,H,2021-04-01,2.0,2000H
47,2243-PU-213|02-06-01,"Cambiar los elementos de unión como pernos, chavetas, pasadores, etc. De presentarse estiramiento, o deformación por esfuerzos de compresión, tracción o cizallamiento.",PREV,TEC-MEC,DET,1.0,2,8000.0,H,2021-04-01,2.0,8000H
48,3261-CL-301|01-02-03,"Retirar el polvo de la superficie externa del engranaje, Verificar el nivel de aceite a través del visor, Revisar fugas de lubricante por los empaques y sellos.",INSP,TEC-MEC,MAR,2.0,1,2000.0,H,2021-04-01,2.0,2000H
49,3261-CL-301|01-03-04,"Limpiar las cabezas hexagonales de los pernos, con torquímetro constatar el ajuste dado por el fabricante.",PREV,TEC-MEC,MAR,2.0,1,8000.0,H,2021-04-01,2.0,8000H
50,3261-CL-301|01-03-05,Retirar todos los residuos de metal del tapón magnético.,PREV,TEC-MEC,MAR,0.5,1,8000.0,H,2021-04-01,0.5,8000H
51,3261-CL-301|01-03-06,"Colocar un recipiente grande debajo del tapón de vaciado, sacar el tapón de vaciado, esperar varios minutos a que el aceite salga, sustituir el aceite nuevo hasta alcanzar el limite de nivel , (el aceite debe ser anti espumas), roscar el tapón de vaciado. Cantidad 76.4 L.",PREV,TEC-MEC,DET,6.0,3,4000.0,H,2021-04-01,18.0,4000H
52,3261-CL-301|01-03-08,"Desconectar conexiones hidráulicas, ubicar las conexiones para drenar todo el aceite que contienen, remover respirador, revisar estado del visor de aceite, reemplazar frasco con uno nuevo, realizar las conexiones hidráulicas.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
53,3261-CL-301|01-04-01,"Detectar signos de fugas, comprobar visualmente el nivel de grasa restante a través del visor, comprobar el indicador LED en el lubricador automático.",INSP,TEC-MEC,MAR,0.5,1,2000.0,H,2021-04-01,0.5,2000H
54,3261-CL-301|01-04-02,"Realizar una purga completa de la grasa, cerrar la válvula de cuarto de vuelta entre el cartucho del lubricador y el engrasador para evitar que la grasa de
cebado fluya en reversa, bombear una cantidad suficiente de grasa para recargar la tubería de suministro más el volumen interno del rodamiento giratorio.",PREV,TEC-MEC,MAR,3.0,2,4000.0,H,2021-04-01,6.0,4000H
55,3261-CL-301|01-05-01,"Asegurar que no haya objetos extraños que obstaculicen el funcionamiento, comprobar que los cilindros del elevador del rastrillo no presentan fugas.",INSP,TEC-MEC,MAR,1.0,1,330.0,H,2021-04-01,1.0,330H
56,3261-CL-301|01-05-03,"Elevar y bajar las rastras para verificar el engrase y la operación sin problemas de las correderas, quitar la grasa sucia o seca de las correderas y aplique la grasa.",PREV,TEC-MEC,MAR,1.0,1,2000.0,H,2021-04-01,1.0,2000H
57,3261-CL-301|01-06-01,"Retirar el polvo de la superficie exterior, verificar el nivel de aceite a través del visor, Revisar fugas de aceite por los empaques y sellos, revisar el estado de tuberías, accesorios y mangueras.",INSP,TEC-MEC,MAR,1.0,1,330.0,H,2021-04-01,1.0,330H
58,3261-CL-301|01-06-02,"Verificar el valor marcado por los manómetros, anotarlos en un cuaderno de apuntes, comparar los datos obtenidos con los niveles de alerta y peligro.",INSP,TEC-MEC,MAR,0.5,1,660.0,H,2021-04-01,0.5,660H
59,3261-CL-301|01-06-05,"Retirar el tapón de la grasera del rodamiento a engrasar, identificar fugas de grasa, limpiar la grasera con un trapo, colocar la manguera de la bomba de engrase sobre la grasera, rellenar de grasa y retirar la manguera, colocar nuevamente el tapón y ajustarlo debidamente, verificar que no existen fugas. Grasa Móvil Polyrex EM.",LUBR,TEC-MEC,MAR,3.0,2,2000.0,H,2021-04-01,6.0,2000H
60,3261-CL-301|01-06-06,"Unidad hidráulica bloqueada y despresurizada, ubicarse sobre el tanque de aceite, abrir tapa de filtro, desenroscar filtro y reemplazarlo, cerrar tapa de filtro.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
61,3261-CL-301|01-06-07,"Unidad hidráulica bloqueada y despresurizada, ubicarse sobre el tanque de aceite, abrir tapa de filtro, desenroscar filtro y reemplazarlo, cerrar tapa de filtro. Este filtro tiene un interruptor de saturación el cual cuando el elemento seleccionado en el filtro doble se satura, cambia de estado y envía una señal. El filtro también posee un pin mecánico rojo que asciende cuando el filtro se satura, se recomienda visualizar el pin cada 400 horas.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
62,3261-CL-301|01-06-08,"Unidad hidráulica bloqueada y despresurizada, ubicarse sobre el tanque de aceite, desenroscar filtro y reemplazarlo. El filtro tiene gránulos que cambian de color indicando la saturación del filtro, lo cual indica que se tiene que cambiar.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
63,3261-CL-301|01-06-09,"Unidad hidráulica bloqueada y despresurizada, retirar todas las conexiones hidráulicas y de enfriamiento, retirar pernos de fijación del enfriador a la estructura, reemplazar enfriador, colocar pernos de fijación, colocar tuberías y conexiones hidráulicas.",PREV,TEC-MEC,DET,3.0,2,8000.0,H,2021-04-01,6.0,8000H
64,3261-CL-301|01-06-11,"Drenar aceite del tanque, limpiar con solvente el interior, llenar aceite a través de sus puntos de lubricación.",PREV,TEC-MEC,DET,3.5,2,8000.0,H,2021-04-01,7.0,8000H
65,3261-CL-301|02-01-01,"Verificar el tanque de alimentación, la tubería de alimentación, el puente y las demás tuberías en busca de signos de desgaste o corrosión. Verificaciónde ajuste de pernos de anclaje.",INSP,TEC-MEC,MAR,1.5,1,8000.0,H,2021-04-01,1.5,8000H
66,3261-CL-301|02-01-02,Inspeccionar desde dentro del tanque de alimentación para ver si el revestimiento del extremo de la tubería presenta algún fallo.,INSP,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
67,3261-CL-301|02-01-03,"Colocar eje en la posición mas alta, bloquear eje con vigas, desde el nivel inferior soltar y retirar pernos del cono, colocar maniobra de izaje en cono, levantar y retirar, posicionar cono nuevo en la parte inferior del eje, colocar pernos y ajustarlos repetidamente hasta el torque requerido, retirar vigas de bloqueo en el accionamiento, bajar rastra a su posición inicial.",INSP,TEC-MEC,DET,4.0,3,8000.0,H,2021-04-01,12.0,8000H
68,3261-CL-301|02-02-01,"Limpiar las cabezas hexagonales de los pernos, para mantener las bridas de la conexión en paralelo, los pernos deben apretarse
uniformemente. Esto se logra apretando los pernos en varias etapas, en cada etapa utilizando un patrón de estrella para garantizar que la conexión se cierre de manera uniforme en toda la cara.",PREV,TEC-MEC,MAR,1.5,2,8000.0,H,2021-04-01,3.0,8000H
69,3261-CL-301|02-02-02,"Observar cualquier grieta o fisura en los brazos largos y cortos, determinar el estado de zonas en desgaste con un análisis por liquido penetrante para determinar su cambio.",INSP,TEC-MEC,DET,1.0,2,8000.0,H,2021-04-01,2.0,8000H
70,3261-CL-301|02-02-03,"Con el clarificador vacío y sin obstrucciones en el interior, soportar cuchilla con tacos de madera, retirar pernos de fijación de cuchillas a la estructura de la rastra, quitar cuchilla fuera del brazo de rastra, repetir acción por todas las cuchillas usadas, traer cuchillas nuevas, soportar su peso sobre tacos o soportes, colocar pernos de fijación.",PREV,TEC-MEC,DET,8.0,2,8000.0,H,2021-04-01,16.0,8000H
71,3261-CL-301|02-03-01,"Bloquear el eje en la posición mas alta, ingresar por el nivel inferior del clarificador, cambiar los raspadores gastados, bajar el eje a su posición original, medir la distancia entre el cono de descarga y el raspador que debe ser 100mm.",PREV,TEC-MEC,DET,3.0,2,4000.0,H,2021-04-01,6.0,4000H
72,3261-CL-301|02-04-01,"Verificar las superficies externas del tanque en busca de signos de deterioro de pared, Comprobar si los pasillos, escaleras o peldaños presentan fisuras.",INSP,TEC-MEC,DET,4.0,2,2000.0,H,2021-04-01,8.0,2000H
73,3261-CL-301|02-04-02,"Drenar el clarificador, Inspeccionar completamente el tanque y la canaleta en busca de signos de deterioro, inspeccionar el suelo del tanque. Verificar estado del tanque, realizar medición topográfica para nivelación y verticalidad de eje de ser necesario.",INSP,TEC-MEC,DET,8.0,3,8000.0,H,2021-04-01,24.0,8000H
74,3261-CL-301|02-04-03,"Inspeccione los pernos en los soportes del tanque, en el tanque, en el puente, en la unidad de accionamiento del rastrillo y en el mecanismo en busca de señales de daños o corrosión.",INSP,TEC-MEC,MAR,3.5,2,8000.0,H,2021-04-01,7.0,8000H
75,3261-CL-301|02-05-01,"Asegurar de que los pernos del grado estructural correcto, retirar uno a uno cada perno viejo, verificar los pares de apriete de todos los pernos.",INSP,TEC-MEC,MAR,2.5,2,8000.0,H,2021-04-01,5.0,8000H
76,2271-TH-201|01-02-02,"Retirar pernos de union entre el reductor y el motor, colocar maniobra de izaje en el motor, levantar y retirar, traer motor nuevo y posicionarlo, colocar y ajustar pernos de union, retirar maniobra de izaje.",PREV,TEC-MEC,DET,3.0,2,8000.0,H,2021-04-01,6.0,8000H
77,2271-TH-201|01-02-03,"Retirar el polvo de la superficie externa del engranaje, Verificar el nivel de aceite a través del visor, Revisar fugas de lubricante por los empaques y sellos.",INSP,TEC-MEC,MAR,2.0,1,2000.0,H,2021-04-01,2.0,2000H
78,2271-TH-201|01-03-04,"Limpiar las cabezas hexagonales de los pernos, con torquimetro constatar el ajuste dado por el fabricante de 556 Nm.",PREV,TEC-MEC,MAR,2.0,1,8000.0,H,2021-04-01,2.0,8000H
79,2271-TH-201|01-03-05,Retirar todos los residuos de metal del tapón magnético.,PREV,TEC-MEC,MAR,0.5,1,8000.0,H,2021-04-01,0.5,8000H
80,2271-TH-201|01-03-06,"Colocar un recipiente grande debajo del tapon de vaciado, sacar el tapon de vaciado, esperar varios minutos a que el aceite salga, sustituir el aceite nuevo hasta alcanzar el limite de nivel , (el aceite debe ser antiespumas), roscar el tapon de vaciado. Aceite Polyalkylene Glycol (API group V).",PREV,TEC-MEC,DET,3.0,2,4000.0,H,2021-04-01,6.0,4000H
81,2271-TH-201|01-03-08,"Desconectar conexiones hidraulicas, ubicar las conexiones para drenar todo el aceite que contienen, remover respirador, reemplazar respirador con uno nuevo, realizar las conexiones hidraulicas.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
82,2271-TH-201|01-04-01,"Asegurar que no haya objetos extraños que obstaculicen el funcionamiento, comprobar que los cilindros del elevador del rastrillo no presentan fugas.",INSP,TEC-MEC,MAR,1.0,1,165.0,H,2021-04-01,1.0,165H
83,2271-TH-201|01-04-02,"Verificar que las guías estén engrasadas correctamente. Grasa Móvil GP. Con el elevador del rastrillo en su posición más baja, bombee grasa en cada uno de los cuatro niples de grasa de los bloques guía a su vez hasta que se vea grasa saliendo del espacio entre el bloque guía y la placa guía. Suba y baje manualmente el rastrillo y luego aplique una segunda dosis de grasa a cada engrasador.",PREV,TEC-MEC,MAR,2.0,1,8000.0,H,2021-04-01,2.0,8000H
84,2271-TH-201|01-04-03,"Elevar y bajar las rastras para verificar el engrase y la operación sin problemas de las correderas, quitar la grasa sucia o seca de las correderas y aplique la grasa.",PREV,TEC-MEC,MAR,1.0,1,2000.0,H,2021-04-01,1.0,2000H
85,2271-TH-201|01-05-01,"Retirar el polvo de la superficie exterior, verificar el nivel de aceite a través del visor, Revisar fugas de aceite por los empaques y sellos, revisar el estado de tuberias, accesorios y mangueras.",INSP,TEC-MEC,MAR,1.0,1,165.0,H,2021-04-01,1.0,165H
86,2271-TH-201|01-05-02,"Verificar el valor marcado por los manometros, anotarlos en un cuaderno de apuntes, comparar los datos obtenidos con los niveles de alerta y peligro.",INSP,TEC-MEC,MAR,0.5,1,660.0,H,2021-04-01,0.5,660H
87,2271-TH-201|01-05-05,"Retirar el tapón de la grasera del rodamiento a engrasar, identificar fugas de grasa, limpiar la grasera con un trapo, colocar la manguera de la bomba de engrase sobre la grasera, rellenar de grasa y retirar la manguera, colocar nuevamente el tapón y ajustarlo debidamente, verificar que no existen fugas. Grasa Mobil Polyrex EM.",PREV,TEC-MEC,MAR,3.0,2,18000.0,H,2021-04-01,6.0,18000H
88,2271-TH-201|01-05-06,"Unidad hidraulica bloqueada y despresurizada, ubicarse sobre el tanque de aceite, abrir tapa de filtro, desenroscar filtro y reemplazarlo, cerrar tapa de filtro.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
89,2271-TH-201|01-05-07,"Unidad hidraulica bloqueada y despresurizada, ubicarse sobre el tanque de aceite, abrir tapa de filtro, desenroscar filtro y reemplazarlo, cerrar tapa de filtro.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
90,2271-TH-201|01-05-08,"Unidad hidraulica bloqueada y despresurizada, ubicarse sobre el tanque de aceite, desenroscar filtro y reemplazarlo.",PREV,TEC-MEC,DET,1.5,1,4000.0,H,2021-04-01,1.5,4000H
91,2271-TH-201|01-05-09,"Unidad hidraulica bloqueada y despresurizada, retirar todas las conexiones hidraulicas y de enfriamiento, retirar pernos de fijacion del enfriador a la estructura, reemplazar enfriador, colocar pernos de fijacion, colocar tuberias y conexiones hidraulicas.",PREV,TEC-MEC,DET,3.0,2,8000.0,H,2021-04-01,6.0,8000H
92,2271-TH-201|01-05-10,"Unidad hidraulica bloqueada y despresurizada, retirar pernos de union entre los calentadores y el tanque de aceite, deslizar hacia fuera del tanque, colocar nuevos calentadores, colocar pernos de union con el tanque de aceite.",PREV,TEC-MEC,DET,2.0,1,8000.0,H,2021-04-01,2.0,8000H
93,2271-TH-201|02-01-01,"Verificar el tanque de alimentación, la tubería de alimentación, el puente y las demás tuberías en busca de signos de desgaste o corrosión.",INSP,TEC-MEC,MAR,1.5,1,8000.0,H,2021-04-01,1.5,8000H
94,2271-TH-201|02-01-02,"Inspeccionar desde dentro del tanque de alimentación para ver si el revestimiento del extremo de la tubería presenta algún fallo, revisar los soportes de la tuberia de alimentacion.",INSP,TEC-MEC,MAR,1.5,1,4000.0,H,2021-04-01,1.5,4000H
