PE,1_WBS,2_WBS,3_WBS,4_WBS,WBS,Level,All,Lvl 1,Lvl 1 ENG,Lvl 1 ESP,Lvl 2,Lvl 2 ENG,Lvl 2 ESP,Lvl 3,Lvl 3 ENG,Lvl 3 ESP,Lvl 4,Lvl 1 ENG,Lvl 1 ESP
2123,2,1,2,3,2123,4,Secondary Screen Feed Conveyor / Faja Transportadora de Alimentación de Zaranda Secundaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Secondary Screen Feed Conveyor / Faja Transportadora de Alimentación de Zaranda Secundaria,Secondary Screen Feed Conveyor,Faja Transportadora de Alimentación de Zaranda Secundaria
2125,2,1,2,5,2125,4,Dust Suppression / Supresión de Polvo,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Dust Suppression / Supresión de Polvo,Dust Suppression,Supresión de Polvo
2129,2,1,2,9,2129,4,Stockpile & Reclaim General / Pila de almacenamiento y Recuperación - General,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Stockpile & Reclaim General / Pila de almacenamiento y Recuperación - General,Stockpile & Reclaim General,Pila de almacenamiento y Recuperación - General
213,2,1,3,0,2130,3,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,,,
2131,2,1,3,1,2131,4,Secondary Screening Station / Estación de Zarandeo Secundario,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screening Station / Estación de Zarandeo Secundario,Secondary Screening Station,Estación de Zarandeo Secundario
2132,2,1,3,2,2132,4,Secondary Screen Oversize Conveyor / Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Oversize Conveyor / Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria,Secondary Screen Oversize Conveyor,Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria
2133,2,1,3,3,2133,4,Secondary Crushing Station / Estación de Chancado Secundario,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station / Estación de Chancado Secundario,Secondary Crushing Station,Estación de Chancado Secundario
2134,2,1,3,4,2134,4,Secondary Screen Undersize Conveyor / Faja Transportadora para Elementos Subdimensionados Zaranda Secundaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Undersize Conveyor / Faja Transportadora para Elementos Subdimensionados Zaranda Secundaria,Secondary Screen Undersize Conveyor,Faja Transportadora para Elementos Subdimensionados Zaranda Secundaria
2135,2,1,3,5,2135,4,Dust Suppression / Supresión de Polvo,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Dust Suppression / Supresión de Polvo,Dust Suppression,Supresión de Polvo
2139,2,1,3,9,2139,4,Secondary Crushing General / Chancado Secundario - General,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO SECUNDARIO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing General / Chancado Secundario - General,Secondary Crushing General,Chancado Secundario - General
214,2,1,4,0,2140,3,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,,,
2141,2,1,4,1,2141,4,Tertiary Crusher Feed Bin / Tolva de Alimentación de Chancadora Terciaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Bin / Tolva de Alimentación de Chancadora Terciaria,Tertiary Crusher Feed Bin,Tolva de Alimentación de Chancadora Terciaria
2142,2,1,4,2,2142,4,Tertiary Crusher Feed Conveyor / Faja Transportadora de Alimentación de Chancadora Terciaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Conveyor / Faja Transportadora de Alimentación de Chancadora Terciaria,Tertiary Crusher Feed Conveyor,Faja Transportadora de Alimentación de Chancadora Terciaria
2143,2,1,4,3,2143,4,Tertiary Crushing Station / Estación de Chancado Terciario,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Station / Estación de Chancado Terciario,Tertiary Crushing Station,Estación de Chancado Terciario
2144,2,1,4,4,2144,4,Tertiary Crushing Discharge Conveyor / Faja Transportadora de Descarga de Chancado Terciario,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Discharge Conveyor / Faja Transportadora de Descarga de Chancado Terciario,Tertiary Crushing Discharge Conveyor,Faja Transportadora de Descarga de Chancado Terciario
2145,2,1,4,5,2145,4,Fine Ore Bin / Tolva de Mineral Fino,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Fine Ore Bin / Tolva de Mineral Fino,Fine Ore Bin,Tolva de Mineral Fino
2146,2,1,4,6,2146,4,Tertiary Screen Feed Conveyor / Faja Transportadora de Alimentación Zaranda Terciaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Screen Feed Conveyor / Faja Transportadora de Alimentación Zaranda Terciaria,Tertiary Screen Feed Conveyor,Faja Transportadora de Alimentación Zaranda Terciaria
2147,2,1,4,7,2147,4,Tertiary Screening Station / Estación de Zarandeo Terciario,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Screening Station / Estación de Zarandeo Terciario,Tertiary Screening Station,Estación de Zarandeo Terciario
2148,2,1,4,8,2148,4,Tertiary Screen Oversize Conveyor / Faja Transportadora para Elementos Sobredimensionados Zaranda Terciaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Screen Oversize Conveyor / Faja Transportadora para Elementos Sobredimensionados Zaranda Terciaria,Tertiary Screen Oversize Conveyor,Faja Transportadora para Elementos Sobredimensionados Zaranda Terciaria
2149,2,1,4,9,2149,4,Dust Suppression / Supresión de Polvo,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT / CIRCUITO DE CHANCADO TERCIARIO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Dust Suppression / Supresión de Polvo,Dust Suppression,Supresión de Polvo
219,2,1,9,0,2190,3,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,,,
2199,2,1,9,9,2199,4,Electrical Works / Trabajos Eléctricos,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,CRUSHING & CRUSHED ORE HANDLING ELECTRICAL WORKS,Electrical Works / Trabajos Eléctricos,Electrical Works,Trabajos Eléctricos
22,2,2,0,0,2200,2,CONCENTRATOR / CONCENTRADORA,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,,,,,,
222,2,2,2,0,2220,3,PRIMARY GRINDING / MOLIENDA PRIMARIA,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,PRIMARY GRINDING / MOLIENDA PRIMARIA,PRIMARY GRINDING,MOLIENDA PRIMARIA,,,
2221,2,2,2,1,2221,4,Primary Grinding Mill Discharge / Descarga de Molino Molienda Primaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,PRIMARY GRINDING / MOLIENDA PRIMARIA,PRIMARY GRINDING,MOLIENDA PRIMARIA,Primary Grinding Mill Discharge / Descarga de Molino Molienda Primaria,Primary Grinding Mill Discharge,Descarga de Molino Molienda Primaria
2222,2,2,2,2,2222,4,Primary Grinding Classification / Clasificación de Molienda Primaria,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,PRIMARY GRINDING / MOLIENDA PRIMARIA,PRIMARY GRINDING,MOLIENDA PRIMARIA,Primary Grinding Classification / Clasificación de Molienda Primaria,Primary Grinding Classification,Clasificación de Molienda Primaria
2223,2,2,2,3,2223,4,Ball Mill / Molino de Bolas,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,PRIMARY GRINDING / MOLIENDA PRIMARIA,PRIMARY GRINDING,MOLIENDA PRIMARIA,Ball Mill / Molino de Bolas,Ball Mill,Molino de Bolas
2224,2,2,2,4,2224,4,Ball Mill Media Feed System / Sistema de Alimentación de Granallado para Molino de Bolas,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,PRIMARY GRINDING / MOLIENDA PRIMARIA,PRIMARY GRINDING,MOLIENDA PRIMARIA,Ball Mill Media Feed System / Sistema de Alimentación de Granallado para Molino de Bolas,Ball Mill Media Feed System,Sistema de Alimentación de Granallado para Molino de Bolas
2229,2,2,2,9,2229,4,Primary Grinding General / Molienda Primaria - General,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,PRIMARY GRINDING / MOLIENDA PRIMARIA,PRIMARY GRINDING,MOLIENDA PRIMARIA,Primary Grinding General / Molienda Primaria - General,Primary Grinding General,Molienda Primaria - General
224,2,2,4,0,2240,3,FLOTATION / FLOTACIÓN,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,FLOTATION / FLOTACIÓN,FLOTATION,FLOTACIÓN,,,
2241,2,2,4,1,2241,4,Conditioning / Acondicionamiento,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,FLOTATION / FLOTACIÓN,FLOTATION,FLOTACIÓN,Conditioning / Acondicionamiento,Conditioning,Acondicionamiento
2242,2,2,4,2,2242,4,Rougher / Desbastado,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,FLOTATION / FLOTACIÓN,FLOTATION,FLOTACIÓN,Rougher / Desbastado,Rougher,Desbastado
2243,2,2,4,3,2243,4,Cleaner 1 / Limpiador 1,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CONCENTRATOR / CONCENTRADORA,CONCENTRATOR,CONCENTRADORA,FLOTATION / FLOTACIÓN,FLOTATION,FLOTACIÓN,Cleaner 1 / Limpiador 1,Cleaner 1,Limpiador 1
