key_dutie,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo
2111-FE-201|01-01-11,Utilizando el pirómetro tomar lectura y registrar la temperatura en el estator verificando que no exceda según datos de placa. (Considerar que la temperatura real es aproximadamente 20°C de la temperatura medida).,INSP,TEC-ELE,MAR,0.5,2,1,M
2111-FE-201|01-01-12,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,2,750,H
2111-FE-201|01-01-13,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,2,750,H
2111-FE-201|01-02-01,"Realizar una inspección de los módulos externos, borneras y cables, realizar el ajuste de las borneras de los cables de control y fuerza del variador, de encontrar cables sueltos se deberá revisar los planos del variador para realizar el seguimiento correspondiente, verificar tarjetas electrónica de control y potencia teniendo en consideración no dañar la fibra óptica y usando brazalete antiestático con la conexión a tierra correspondiente, revisar la conexión de la fibra óptica y los cables flat, realizar una limpieza de la parte exterior del variador, realizar la limpieza del ventilador, retirar los filtros, de encontrarse saturados y/o dañados proceder a su cambio. Aspirar interior del gabinete del variador. Realizar back up del variador a través del ordenador.",PREV,TEC-ELE,DET,2,2,4000,H
2111-FE-201|01-03-01,"Verificación de humedad en tablero, verificar que cuente con silica gel o absolvedor de humedad, verificar conexionado de cables de fuerza y mando, estado de borneras, terminales, luces indicadoras, interruptor de parada de emergencia, verificar el conexionado de puesta a tierra, inspección de prensaestopas, tuberías flexibles conduit que no presenten deterioro.",INSP,TEC-ELE,MAR,0.5,2,1,M
2111-FE-201|01-03-02,"Limpiar el interior con brocha y aspiradora, limpiar Los bornes y conexiones con limpiador de contactos y el exterior con trapo húmedo y solvente dieléctrico de ser necesario, realizar ajuste de conexiones, inspeccionar conectores, cables y terminales, realizar pruebas de continuidad, reemplazar contactos deteriorados, comprobar las luces del panel, inspeccionar el panel en busca de botones, interruptores e indicadores averiados o faltantes, sustituir según se requiera, si cuenta con ventilador verificar el cableado y filtros.",PREV,TEC-ELE,DET,1.5,2,4000,H
2111-FE-201|01-04-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,330,H
2111-FE-201|01-04-02,Verificar el nivel de aceite correcto De ser necesario rellenar con aceite ISO VG 220 - Mobilgear 600 XP 220 hasta donde indique la mirilla de aceite.,INSP,TEC-MEC,MAR,0.25,2,660,H
2111-FE-201|01-04-03,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a las ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.5,2,750,H
2111-FE-201|01-04-04,"Debe de drenar todo el aceite del reductor, realizar la limpieza interna con disolvente industrial, rellenar el reductor con aceite ISO VG 220 - Mobilgear 600 XP 220, 55 litros.",PREV,TEC-MEC,DET,3,2,4000,H
2111-FE-201|01-04-05,"Realizar el mantenimiento general de los reductores, cambiar los rodamientos, sellos radiales, empaquetaduras, verificar desgaste en los engranajes, juego entre dientes, verificar el estado de los elementos de unión, el brazo anti torsión, etc.",COND,TEC-MEC,DET,8,2,,
2111-FE-201|01-05-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,660,H
2111-FE-201|01-05-02,"Desmontar el eje del conjunto, montarlo sobre soportes que aseguren una posición horizontal ( montado entre centros en un torno), con la ayuda de instrumentos de medición verificar desgastes en los apoyos de rodamientos, apoyos de sellos. Verificar flexión en el eje.",INSP,TEC-MEC,DET,1,2,4000,H
2111-FE-201|01-05-03,Realizar un proceso de relubricación de los apoyos del eje motriz periódico con grasa del tipo NLGI 2.,LUBR,TEC-MEC,MAR,0.25,2,660,H
2111-FE-201|01-05-04,"Realizar el proceso de cambio de grasa de los apoyos del eje motriz, desmontar las tapas de los apoyos desmontar el apoyo de la base del alimentadores , drenar toda la grasa y limpiar con solvente industrial, rellenar con grasa del tipo NLGI 2 en la cantidad requerida, montar el componente, y verificar la estanqueidad.",PREV,TEC-MEC,DET,2,2,4000,H
2111-FE-201|01-05-05,"Desmontar el apoyo fijo y el apoyo libre del eje motriz, montar los nuevos apoyos en el eje, verificar el juego radial interno de los rodamientos( determinar el valor del juego interno según tabla), lubricar los apoyos, torquear los pernos de ajuste de los apoyos y de las tapas del apoyo.",COND,TEC-MEC,DET,4,2,,
2111-FE-201|01-05-06,"Desmontar el eje de los apoyos, verificar el desgaste en el sprocket y en el cubo, desmontarlos del eje, verificar el desgaste en los elementos de unión( chavetas y pernos). Cambiar de ser necesario, montar los elementos nuevos, montar el eje sobre los apoyos, asegurar los elementos y verificar la estanqueidad del eje motriz.",COND,TEC-MEC,DET,14,4,,
2111-FE-201|01-05-07,"Verificar el desgaste en los apoyos de sellos y rodamientos, posibles daños y fracturas en el eje motriz . Cambiar el eje de ser necesario.",PRED,TEC-PRD,DET,2,2,4000,H
2111-FE-201|01-05-08,"Desmontar el eje de los apoyos, desmontar el sprocket del eje, cambiar el eje motriz, montar los elementos sobre el eje, montar sobre los apoyos, asegurar los elementos de unión y la estanqueidad del componente.",COND,TEC-MEC,DET,18,4,,
2111-FE-201|01-06-01,"Desmontar parte de las placas, destensar las cadenas, abrir las cadenas en la zona de los rodillos tensores, desmontar los componentes, verificar el desgaste en los rodillos, montar los nuevos componentes, alinear los rodillos, montar las cadenas, montar las placas.",COND,TEC-MEC,DET,14,4,,
2111-FE-201|02-01-01,"Verificar solturas o roturas de pernos, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,2,2,660,H
2111-FE-201|02-01-02,"Verificar el desgaste de las placas (verificar el espesor), verificar el ajuste de los elementos de unión ( la primera inspección debe ser a las 100 horas de trabajo).",INSP,TEC-MEC,DET,2,2,2000,H
2111-FE-201|02-01-03,"Desmontar las placas gastadas del alimentador, cambiar las placas de reposición, asegurar con los pernos de apriete (se debe de torquear a un valor de 486 Nm). Realizar el retorqueo de pernos a las 02 semanas de la instalación de placas nuevas.",COND,TEC-MEC,DET,16,5,,
2111-FE-201|02-02-01,"Verificar solturas o roturas de pernos tensores de cadena, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,0.5,2,660,H
2111-FE-201|02-02-02,"Verificar el desgaste de las cadenas , comparar los valores de desgaste con las tablas suministradas por el fabricante para determinar si es necesario el cambio de las mismas.",INSP,TEC-MEC,DET,2,2,2000,H
2111-FE-201|02-02-03,"Verificar el desgaste de las cadenas, compararlas con las tablas de desgaste provistas por el fabricante para determinar el cambio. Desmontar las placas, desmontar la cadena desde la parte de tensado, cambiar las cadenas en ambos extremos, tensar las cadenas con los pernos de tensado. Verificar que la deflexión de la cadena en la parte inferior tenga 40 mm como mínimo y 70 mm como máximo.",COND,TEC-MEC,DET,36,5,,
2111-FE-201|03-01-01,Realizar la medición de desgaste de rodillos.,PRED,TEC-PRD,DET,2,2,750,H
2111-FE-201|03-01-02,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2,2,4000,H
2111-FE-201|03-01-03,"Desmontar las placas, destemplar las cadenas. Montar la nueva cama de rodillos, de ser necesario realizar limpieza de residuos. Alinear los rodillos lainando la base del rodillo con los agujeros del estructura del alimentador . Verificar el correcto tensando y el alineamiento de las placas. El cambio se realizará por segmento de placa (6 rodillos por segmento).",COND,TEC-MEC,DET,4,3,,
2111-FE-201|03-02-01,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2,2,4000,H
2111-FE-201|03-02-02,"Desmontar las placas, destemplar las cadenas. Montar la nueva cama de rodillos, de ser necesario realizar limpieza de residuos. Alinear los rodillos y verificar el correcto tensado de las cadenas y las placas. El cambio se realizará por segmento de placa.",COND,TEC-MEC,DET,4,3,,
2111-FE-201|04-01-01,"HS-20101, HS-20102, SSL-20100, TSH-20103, YA-20108, YL-20108.",INSP,TEC-INS,MAR,1,2,1,M
2111-FE-201|04-01-02,"Limpiar y cambiar componentes averiados. HS-20101, HS-20102, SSL-20100, TSH-20103, YA-20108, YL-20108.",PREV,TEC-INS,DET,1.5,2,4000,H
2111-FE-201|04-01-03,"Realizar el cambio de instrumentos averiados de acuerdo a condición: HS-20101, HS-20102, SSL-20100, TSH-20103, YA-20108, YL-20108.",COND,TEC-INS,DET,1,2,,
2122-FE-213|01-01-01,"Inspeccionar conexión a tierra, cables de alimentación, caja de conexiones, pernos de anclaje, carcasa del motor, tapa y ventilador, tuberías flexibles conduit, verificar pintura de motor, inspeccionar fugas de lubricante en rodamientos, síntomas de sobrecalentamiento en carcaza y caja de conexiones. 
De ser necesario realizar la actividad de limpieza del motor con caudal de aire. 
Registrar los parámetros eléctricos del motor en el formato establecido.",INSP,TEC-ELE,MAR,1,2,1,M
2122-FE-213|01-01-02,"Limpiar parte externa del motor (carcaza, tapa de ventiladores, puntos de lubricación) con caudal de aire (blower), espátula, brocha y trapo para pulverizar con solvente dieléctrico, retirar sulfato y oxido de pernos de anclaje y conexiones a tierra.",PREV,TEC-ELE,DET,2,2,2000,H
2122-FE-213|01-01-03,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, abrir la caja de conexiones, verificar que los terminales se encuentren en buen estado, inspeccionar síntomas de sobrecalentamiento en bornes de conexión y aislamiento de cables de alimentación, ajustar conexiones, verificar la hermeticidad de la caja de conexiones, cerrar la caja de conexiones. Aplicar anticorrosivo de zinc a pernos de tapa. Comprobar la continuidad de cada elemento del calefactor.",PREV,TEC-ELE,DET,1,2,4000,H
2122-FE-213|01-01-04,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, abrir la caja de conexiones, ajustar conexiones, verificar que los terminales se encuentren en buen estado, medir la resistencia del RTD, verificar la hermeticidad de la caja de conexiones, inspeccionar el cable de alimentación. Aplicar anticorrosivo de zinc a pernos de tapa.",PREV,TEC-ELE,DET,0.5,2,4000,H
2122-FE-213|01-01-05,"Retirar la tapa del ventilador, limpiar el ventilador con trapo y solvente dieléctrico, cambiar el ventilador si se encuentra roto, colocar la tapa del ventilador.",PREV,TEC-ELE,DET,1,2,4000,H
2122-FE-213|01-01-06,"Limpiar el terminal del cable a tierra, ajustar terminal del cable a tierra, cambiar el terminal del cable a tierra de ser necesario, inspeccionar integridad del cable.",PREV,TEC-ELE,DET,0.5,2,4000,H
2122-FE-213|01-01-07,"Retirar las tapas del lado ventilador y lado acople, retirar los rodamientos con el extractor de rodamientos, colocar los rodamientos nuevos, colocar las tapas retiradas. Rodamiento delantero 6314-C3, Rodamiento posterior 6314-C3 (El cambio se realizará según monitoreo de condición).",COND,TEC-ELE,DET,8,2,,
2122-FE-213|01-01-08,"Retirar la tapa de la caja de conexiones, desconectar cables de alimentación, medir resistencia de aislamiento, conectar los cables, cerrar la tapa de conexión. 
Registrar datos de la actividad en formato establecido.",PREV,TEC-ELE,DET,1.5,2,4000,H
2122-FE-213|01-01-09,"Retirar el tapón de la grasera del rodamiento a engrasar, limpiar la grasera con un trapo, retirar tapón de drenaje de grasa, colocar la manguera de la bomba de engrase sobre la grasera, rellenar de grasa y retirar la manguera, colocar nuevamente los tapones y ajustarlo debidamente, verificar que no existen fugas (lagrimeo). Rodamiento delantero 6314-C3 y posterior 6314-C3 cantidad de grasa 27g c/u intervalo de lubricación 12000 h. Emplear GRASA MOBIL POLYREX EM.",LUBR,TEC-ELE,MAR,0.5,2,12000,H
2122-FE-213|01-01-10,"Utilizando el pirómetro tomar lectura y registrar la temperatura en los rodamientos verificando que no exceda, según al manual del fabricante.",INSP,TEC-ELE,MAR,0.5,2,1,M
2122-FE-213|01-01-11,Utilizando el pirómetro tomar lectura y registrar la temperatura en el estator verificando que no exceda según datos de placa. (Considerar que la temperatura real es aproximadamente 20°C de la temperatura medida).,INSP,TEC-ELE,MAR,0.5,2,1,M
2122-FE-213|01-01-12,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,2,750,H
2122-FE-213|01-01-13,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,2,750,H
2122-FE-213|01-02-01,"Realizar una inspección de los módulos externos, borneras y cables, realizar el ajuste de las borneras de los cables de control y fuerza del variador, de encontrar cables sueltos se deberá revisar los planos del variador para realizar el seguimiento correspondiente, verificar tarjetas electrónica de control y potencia teniendo en consideración no dañar la fibra óptica y usando brazalete antiestático con la conexión a tierra correspondiente, revisar la conexión de la fibra óptica y los cables flat, realizar una limpieza de la parte exterior del variador, realizar la limpieza del ventilador, retirar los filtros, de encontrarse saturados y/o dañados proceder a su cambio. Aspirar interior del gabinete del variador. Realizar back up del variador a través del ordenador.",PREV,TEC-ELE,DET,2,2,4000,H
2122-FE-213|01-03-01,"Verificación de humedad en tablero, verificar que cuente con silica gel o absolvedor de humedad, verificar conexionado de cables de fuerza y mando, estado de borneras, terminales, luces indicadoras, interruptor de parada de emergencia, verificar el conexionado de puesta a tierra, inspección de prensaestopas, tuberías flexibles conduit que no presenten deterioro.",INSP,TEC-ELE,MAR,0.5,2,1,M
2122-FE-213|01-03-02,"Limpiar el interior con brocha y aspiradora, limpiar Los bornes y conexiones con limpiador de contactos y el exterior con trapo húmedo y solvente dieléctrico de ser necesario, realizar ajuste de conexiones, inspeccionar conectores, cables y terminales, realizar pruebas de continuidad, reemplazar contactos deteriorados, comprobar las luces del panel, inspeccionar el panel en busca de botones, interruptores e indicadores averiados o faltantes, sustituir según se requiera, si cuenta con ventilador verificar el cableado y filtros.",PREV,TEC-ELE,DET,1.5,2,4000,H
2122-FE-213|01-04-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,330,H
2122-FE-213|01-04-02,Verificar el nivel de aceite correcto De ser necesario rellenar con aceite ISO VG 220 - Mobilgear 600 XP 220 hasta donde indique la mirilla de aceite.,INSP,TEC-MEC,MAR,0.25,2,660,H
2122-FE-213|01-04-03,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a las ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.5,2,750,H
2122-FE-213|01-04-04,"Debe de drenar todo el aceite del reductor, realizar la limpieza interna con disolvente industrial, rellenar el reductor con aceite ISO VG 220 - Mobilgear 600 XP 220, 55 litros.",PREV,TEC-MEC,DET,3,2,4000,H
2122-FE-213|01-04-05,"Realizar el mantenimiento general de los reductores, cambiar los rodamientos, sellos radiales, empaquetaduras, verificar desgaste en los engranajes, juego entre dientes, verificar el estado de los elementos de unión, el brazo anti torsión, etc.",COND,TEC-MEC,DET,8,2,,
2122-FE-213|01-05-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,660,H
2122-FE-213|01-05-02,"Desmontar el eje del conjunto, montarlo sobre soportes que aseguren una posición horizontal ( montado entre centros en un torno), con la ayuda de instrumentos de medición verificar desgastes en los apoyos de rodamientos, apoyos de sellos. Verificar flexión en el eje.",INSP,TEC-MEC,DET,1,2,4000,H
2122-FE-213|01-05-03,Realizar un proceso de relubricación de los apoyos del eje motriz periódico con grasa del tipo NLGI 2.,LUBR,TEC-MEC,MAR,0.25,2,660,H
2122-FE-213|01-05-04,"Realizar el proceso de cambio de grasa de los apoyos del eje motriz, desmontar las tapas de los apoyos desmontar el apoyo de la base del alimentadores , drenar toda la grasa y limpiar con solvente industrial, rellenar con grasa del tipo NLGI 2 en la cantidad requerida, montar el componente, y verificar la estanqueidad.",PREV,TEC-MEC,DET,2,2,4000,H
2122-FE-213|01-05-05,"Desmontar el apoyo fijo y el apoyo libre del eje motriz, montar los nuevos apoyos en el eje, verificar el juego radial interno de los rodamientos( determinar el valor del juego interno según tabla), lubricar los apoyos, torquear los pernos de ajuste de los apoyos y de las tapas del apoyo.",COND,TEC-MEC,DET,4,2,,
2122-FE-213|01-05-06,"Desmontar el eje de los apoyos, verificar el desgaste en el sprocket y en el cubo, desmontarlos del eje, verificar el desgaste en los elementos de unión( chavetas y pernos). Cambiar de ser necesario, montar los elementos nuevos, montar el eje sobre los apoyos, asegurar los elementos y verificar la estanqueidad del eje motriz.",COND,TEC-MEC,DET,14,4,,
2122-FE-213|01-05-07,"Verificar el desgaste en los apoyos de sellos y rodamientos, posibles daños y fracturas en el eje motriz . Cambiar el eje de ser necesario.",PRED,TEC-PRD,DET,2,2,4000,H
2122-FE-213|01-05-08,"Desmontar el eje de los apoyos, desmontar el sprocket del eje, cambiar el eje motriz, montar los elementos sobre el eje, montar sobre los apoyos, asegurar los elementos de unión y la estanqueidad del componente.",COND,TEC-MEC,DET,18,4,,
2122-FE-213|01-06-01,"Desmontar parte de las placas, destensar las cadenas, abrir las cadenas en la zona de los rodillos tensores, desmontar los componentes, verificar el desgaste en los rodillos, montar los nuevos componentes, alinear los rodillos, montar las cadenas, montar las placas.",COND,TEC-MEC,DET,14,4,,
2122-FE-213|02-01-01,"Verificar solturas o roturas de pernos, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,2,2,660,H
2122-FE-213|02-01-02,"Verificar el desgaste de las placas (verificar el espesor), verificar el ajuste de los elementos de unión ( la primera inspección debe ser a las 100 horas de trabajo).",INSP,TEC-MEC,DET,2,2,2000,H
2122-FE-213|02-01-03,"Desmontar las placas gastadas del alimentador, cambiar las placas de reposición, asegurar con los pernos de apriete (se debe de torquear a un valor de 486 Nm). Realizar el retorqueo de pernos a las 02 semanas de la instalación de placas nuevas.",COND,TEC-MEC,DET,16,5,,
2122-FE-213|02-02-01,"Verificar solturas o roturas de pernos tensores de cadena, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,0.5,2,660,H
2122-FE-213|02-02-02,"Verificar el desgaste de las cadenas , comparar los valores de desgaste con las tablas suministradas por el fabricante para determinar si es necesario el cambio de las mismas.",INSP,TEC-MEC,DET,2,2,2000,H
2122-FE-213|02-02-03,"Verificar el desgaste de las cadenas, compararlas con las tablas de desgaste provistas por el fabricante para determinar el cambio. Desmontar las placas, desmontar la cadena desde la parte de tensado, cambiar las cadenas en ambos extremos, tensar las cadenas con los pernos de tensado. Verificar que la deflexión de la cadena en la parte inferior tenga 40 mm como mínimo y 70 mm como máximo.",COND,TEC-MEC,DET,36,5,,
2122-FE-213|03-01-01,Realizar la medición de desgaste de rodillos.,PRED,TEC-PRD,DET,2,2,750,H
2122-FE-213|03-01-02,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2,2,4000,H
2122-FE-213|03-01-03,"Desmontar las placas, destemplar las cadenas. Montar la nueva cama de rodillos, de ser necesario realizar limpieza de residuos. Alinear los rodillos lainando la base del rodillo con los agujeros del estructura del alimentador . Verificar el correcto tensando y el alineamiento de las placas. El cambio se realizará por segmento de placa (6 rodillos por segmento).",COND,TEC-MEC,DET,4,3,,
2122-FE-213|03-02-01,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2,2,4000,H
2122-FE-213|03-02-02,"Desmontar las placas, destemplar las cadenas. Montar la nueva cama de rodillos, de ser necesario realizar limpieza de residuos. Alinear los rodillos y verificar el correcto tensado de las cadenas y las placas. El cambio se realizará por segmento de placa.",COND,TEC-MEC,DET,4,3,,
2122-FE-213|04-01-01,"CA-20307, XV-20378, XS-20378, HS-20301, HS-20302, LSH-20304, SSL-20300, TSH-20303, YA-20306, YL-20306.",INSP,TEC-INS,MAR,1,2,1,M
2122-FE-213|04-01-02,"Limpiar y cambiar componentes averiados. CA-20307, XV-20378, XS-20378, HS-20301, HS-20302, LSH-20304, SSL-20300, TSH-20303, YA-20306, YL-20306.",PREV,TEC-INS,DET,1.5,2,4000,H
2122-FE-213|04-01-03,"Realizar el cambio de instrumentos averiados de acuerdo a condición: CA-20307, XV-20378, XS-20378, HS-20301, HS-20302, LSH-20304, SSL-20300, TSH-20303, YA-20306, YL-20306.",COND,TEC-INS,DET,1,2,,
2242-PU-275|01-01-01,"Inspeccionar conexión a tierra, cables de alimentación, caja de conexiones, pernos de anclaje, carcasa del motor, ventilador, tuberías flexibles conduit, verificar pintura de motor, inspeccionar fugas de lubricante en rodamientos. De ser necesario realizar la actividad de limpieza del motor con caudal de aire.
Registrar los parámetros eléctricos de cada motor.",INSP,TEC-ELE,MAR,0.5,2,1,M
2242-PU-275|01-01-02,"Limpiar parte externa del motor (carcasa, tapa de ventiladores, puntos de lubricación) con caudal de aire (blower), espátula, brocha y trapo para pulverizar con solvente dieléctrico, retirar sulfato y óxido de pernos de anclaje y conexiones a tierra.",PREV,TEC-ELE,DET,1,2,2000,H
2242-PU-275|01-01-03,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, ajustar conexiones, verificar que los terminales se encuentren en buen estado, verificar la hermeticidad de la caja de conexiones, inspeccionar el cable de alimentación. Aplicar anticorrosivo de zinc a pernos de tapa.",PREV,TEC-ELE,DET,2,2,4000,H
2242-PU-275|01-01-04,"Retirar la tapa del ventilador, limpiar el ventilador con trapo y solvente dieléctrico, colocar la tapa del ventilador, cambiar el ventilador si se encuentra roto. Aplicar anticorrosivo de zinc a pernos de ventilador.",PREV,TEC-ELE,DET,1,2,4000,H
2242-PU-275|01-01-05,"Limpiar el terminal del cable a tierra, ajustar terminal del cable a tierra, cambiar el terminal del cable a tierra de ser necesario, inspeccionar integridad del cable. Aplicar anticorrosivo de zinc a pernos de cable a tierra.",PREV,TEC-ELE,DET,0.5,2,4000,H
2242-PU-275|01-01-06,Verificar estatus de confirmación de termistor en sala eléctrica.,PREV,TEC-ELE,DET,0.5,1,4000,H
2242-PU-275|01-01-07,"Retirar las tapas del lado ventilador y lado acople, retirar los rodamientos con el extractor de rodamientos, colocar los rodamientos nuevos, colocar las tapas retiradas. Rodamiento delantero NU-312-C3, Rodamiento posterior 6212-ZZ-C3 (El cambio se realizara según monitoreo de condición).",COND,TEC-ELE,DET,5,2,,
2242-PU-275|01-01-08,"Retirar la tapa de la caja de conexiones, desconectar cables de alimentación, medir resistencia de aislamiento, conectar los cables, cerrar la tapa de conexión. Registrar datos de actividad en formato establecido.",PREV,TEC-ELE,DET,1,2,4000,H
